"Table S15. GO enrichment analysis of significant differentially methylated genes between between the pH treatments at Day 135. Column name numDEInCat is 'number of differentially expressed genes in category; column name numInCat is 'number of genes in category'; column name Cat is 'category'; F = Molecular Function, P = Biological Process; C = Cellular Component",,,,,,
,GO.Slim.Term,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Cat
1,cytoskeletal activity,0.003085544,0.99825357,39,502,F
2,cytoskeleton,0.082788351,0.936652692,61,1041,C
3,developmental processes,0.125512676,0.894391407,122,2259,P
4,DNA metabolism,0.130851111,0.909094925,26,420,P
5,other biological processes,0.142060488,0.877359298,164,3100,P
6,unknown,0.207510157,0.815123918,586,11744,NA
7,signal transduction,0.219648717,0.813005784,91,1714,P
8,transcription regulatory activity,0.246318454,0.819632283,22,382,F
9,stress response,0.247885001,0.791879107,68,1275,P
10,cell organization and biogenesis,0.258367003,0.773199774,124,2390,P
11,RNA metabolism,0.282998872,0.757473486,77,1474,P
12,cell adhesion,0.329079092,0.735708917,32,599,P
13,plasma membrane,0.348312229,0.688262641,123,2425,C
14,ER/Golgi,0.36795922,0.680819934,66,1289,C
15,cell cycle and proliferation,0.384683835,0.667445174,59,1154,P
16,signal transduction activity,0.399171215,0.658260213,49,959,F
17,transporter activity,0.406215692,0.660392941,36,700,F
18,translation activity,0.422270196,0.830004813,2,29,F
19,non-structural extracellular,0.434931743,0.616082405,67,1336,C
20,enzyme regulator activity,0.45495328,0.628118412,24,471,F
21,kinase activity,0.48758888,0.600039601,22,438,F
22,extracellular structural activity,0.541905781,0.687303307,3,58,F
23,death,0.548736966,0.5258811,31,638,P
24,extracellular matrix,0.583437662,0.551814113,9,188,C
25,other molecular function,0.662076799,0.365793095,295,6131,F
26,transport,0.682292174,0.359576705,89,1890,P
27,other cytoplasmic organelle,0.690134877,0.376882819,32,700,C
28,other membranes,0.742062676,0.285777203,196,4149,C
29,other metabolic processes,0.752784607,0.280945472,113,2436,P
30,nucleus,0.782730795,0.24689814,131,2832,C
31,other cellular component,0.822237728,0.200494788,194,4173,C
32,cytosol,0.867453091,0.161621617,69,1585,C
33,protein metabolism,0.921339512,0.096681011,88,2048,P
34,mitochondrion,0.926859736,0.105628831,24,633,C
35,cell-cell signaling,0.960174052,0.063762992,18,525,P
36,nucleic acid binding activity,0.984827252,0.02131291,54,1428,F
37,translational apparatus,0.991831849,0.048560046,1,96,C
