"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"1","GO:0045829",0.0227445214522977,1,1,1,"negative regulation of isotype switching","BP","P","DNA metabolism","PGEN_.00g206220","Q9Y6F1","PARP3_HUMAN","Protein mono-ADP-ribosyltransferase PARP3 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (DNA ADP-ribosyltransferase PARP3) (EC 2.4.2.-) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly [ADP-ribose] polymerase 3) (PARP-3) (hPARP-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3)"
"2","GO:0051106",0.0439985623505733,0.999506228106415,1,2,"positive regulation of DNA ligation","BP","P","DNA metabolism","PGEN_.00g206220","Q9Y6F1","PARP3_HUMAN","Protein mono-ADP-ribosyltransferase PARP3 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (DNA ADP-ribosyltransferase PARP3) (EC 2.4.2.-) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly [ADP-ribose] polymerase 3) (PARP-3) (hPARP-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3)"
"3","GO:0000022",0.00148356992127031,0.999988790849972,2,3,"mitotic spindle elongation","BP","P","cell cycle and proliferation","PGEN_.00g345650; PGEN_.00g173820","Q02241; Q02241","KIF23_HUMAN; KIF23_HUMAN","Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1)"
"4","GO:0000915",0.00159481685159169,0.999930505051352,3,10,"actomyosin contractile ring assembly","BP","P","cell cycle and proliferation","PGEN_.00g345650; PGEN_.00g173820; PGEN_.00g243530","Q02241; Q02241; E9Q5G3","KIF23_HUMAN; KIF23_HUMAN; KIF23_MOUSE","Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23"
"5","GO:0051256",0.00194357681160426,0.999906765328333,3,11,"mitotic spindle midzone assembly","BP","P","cell cycle and proliferation","PGEN_.00g345650; PGEN_.00g173820; PGEN_.00g243530","Q02241; Q02241; E9Q5G3","KIF23_HUMAN; KIF23_HUMAN; KIF23_MOUSE","Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23"
"6","GO:0007141",0.0224406019558768,0.998645368481128,2,8,"male meiosis I","BP","P","cell cycle and proliferation","PGEN_.00g043230; PGEN_.00g008080","Q9D4I2; Q9NQI0","MEII1_MOUSE; DDX4_HUMAN","Meiosis inhibitor protein 1 (Meiosis defective protein 1); Probable ATP-dependent RNA helicase DDX4 (EC 3.6.4.13) (DEAD box protein 4) (Vasa homolog)"
"7","GO:0070317",0.0335130412493115,0.997487567244546,2,8,"negative regulation of G0 to G1 transition","BP","P","cell cycle and proliferation","PGEN_.00g285380; PGEN_.00g122490","Q5VWQ8; Q9H2F5","DAB2P_HUMAN; EPC1_HUMAN","Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein); Enhancer of polycomb homolog 1"
"8","GO:0000281",0.04453061944641,0.987174124337,5,62,"mitotic cytokinesis","BP","P","cell cycle and proliferation","PGEN_.00g345650; PGEN_.00g017170; PGEN_.00g173820; PGEN_.00g243530; PGEN_.00g145470","Q02241; E1BLZ4; Q02241; E9Q5G3; O14578","KIF23_HUMAN; ZFY26_BOVIN; KIF23_HUMAN; KIF23_MOUSE; CTRO_HUMAN","Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Zinc finger FYVE domain-containing protein 26; Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23; Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)"
"9","GO:0006625",0.00701240982114526,0.999432113052864,3,15,"protein targeting to peroxisome","BP","P","cell organization and biogenesis","PGEN_.00g243110; PGEN_.00g238170; PGEN_.00g239060","Q6QHF9; O43933; Q93008","PAOX_HUMAN; PEX1_HUMAN; USP9X_HUMAN","Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase); Peroxisome biogenesis factor 1 (Peroxin-1) (Peroxisome biogenesis disorder protein 1); Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)"
"10","GO:0061024",0.0389769004956715,0.993678777345141,3,22,"membrane organization","BP","P","cell organization and biogenesis","PGEN_.00g339840; PGEN_.00g025030; PGEN_.00g330550","O60331; Q8VHS2; Q5VV43","PI51C_HUMAN; CRUM1_MOUSE; K0319_HUMAN","Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma); Protein crumbs homolog 1; Dyslexia-associated protein KIAA0319"
"11","GO:0090261",0.0433837198672627,0.999520084703005,1,2,"positive regulation of inclusion body assembly","BP","P","cell organization and biogenesis","PGEN_.00g028430","P62334","PRS10_MOUSE","26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)"
"12","GO:0043012",0.0466435391006095,1,1,1,"regulation of fusion of sperm to egg plasma membrane","BP","P","cell organization and biogenesis","PGEN_.00g343660","Q96PH1","NOX5_HUMAN","NADPH oxidase 5 (EC 1.6.3.-)"
"13","GO:2000301",0.0467845610468281,0.999440909190394,1,2,"negative regulation of synaptic vesicle exocytosis","BP","P","cell-cell signaling","PGEN_.00g215970","Q6TEN1","RAP1B_DANRE","Ras-related protein Rap-1b"
"14","GO:0060027",0.00953644827431794,0.999810590694281,2,3,"convergent extension involved in gastrulation","BP","P","developmental processes","PGEN_.00g303590; PGEN_.00g036790","Q4H4B6; Q08BI9","SCRIB_DANRE; MCU_DANRE","Protein scribble homolog (Scribble1); Calcium uniporter protein, mitochondrial"
"15","GO:0060693",0.0217696729690287,1,1,1,"regulation of branching involved in salivary gland morphogenesis","BP","P","developmental processes","PGEN_.00g024520","Q9P203","BTBD7_HUMAN","BTB/POZ domain-containing protein 7"
"16","GO:0003428",0.0241465220250799,1,1,1,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP","P","developmental processes","PGEN_.00g215970","Q6TEN1","RAP1B_DANRE","Ras-related protein Rap-1b"
"17","GO:0060536",0.0241465220250799,1,1,1,"cartilage morphogenesis","BP","P","developmental processes","PGEN_.00g215970","Q6TEN1","RAP1B_DANRE","Ras-related protein Rap-1b"
"18","GO:0035886",0.0252644059591283,1,1,1,"vascular associated smooth muscle cell differentiation","BP","P","developmental processes","PGEN_.00g122490","Q9H2F5","EPC1_HUMAN","Enhancer of polycomb homolog 1"
"19","GO:0043009",0.0405429734872586,0.996535558633771,2,9,"chordate embryonic development","BP","P","developmental processes","PGEN_.00g036790; PGEN_.00g192300","Q08BI9; Q5TYW4","MCU_DANRE; NBAS_DANRE","Calcium uniporter protein, mitochondrial; Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein homolog)"
"20","GO:0040024",0.0406041544563913,1,1,1,"dauer larval development","BP","P","developmental processes","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"21","GO:0061065",0.0406041544563913,1,1,1,"regulation of dauer larval development","BP","P","developmental processes","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"22","GO:0061066",0.0406041544563913,1,1,1,"positive regulation of dauer larval development","BP","P","developmental processes","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"23","GO:0007491",0.043029167227485,0.999527983547661,1,2,"sternite morphogenesis","BP","P","developmental processes","PGEN_.00g162010","Q961D9","BCL9_DROME","Protein BCL9 homolog (Protein legless)"
"24","GO:0035223",0.043029167227485,0.999527983547661,1,2,"leg disc pattern formation","BP","P","developmental processes","PGEN_.00g162010","Q961D9","BCL9_DROME","Protein BCL9 homolog (Protein legless)"
