"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"1","GO:0045740",0.0308111616657157,0.99589175568223,3,11,"positive regulation of DNA replication","BP","P","DNA metabolism","PGEN_.00g024960; PGEN_.00g211830; PGEN_.00g125500","Q6BK42; P16056; Q0VGT2","DDI1_DEBHA; MET_MOUSE; GLI2_MOUSE","DNA damage-inducible protein 1 (EC 3.4.23.-); Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Zinc finger protein GLI2 (Tax helper protein)"
"2","GO:0051091",0.0169265194307715,0.995210013311145,7,38,"positive regulation of DNA-binding transcription factor activity","BP","P","RNA metabolism","PGEN_.00g256920; PGEN_.00g010610; PGEN_.00g122380; PGEN_.00g322450; PGEN_.00g042660; PGEN_.00g102930; PGEN_.00g330590","O95786; O75581; Q91VN0; Q9BXM7; O08586; Q16832; O70421","DDX58_HUMAN; LRP6_HUMAN; LRP5_MOUSE; PINK1_HUMAN; PTEN_MOUSE; DDR2_HUMAN; FZD1_MOUSE","Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I); Low-density lipoprotein receptor-related protein 6 (LRP-6); Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7); Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1); Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog); Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b); Frizzled-1 (Fz-1) (mFz1)"
"3","GO:0048026",0.022334715276354,0.997320142873116,3,12,"positive regulation of mRNA splicing, via spliceosome","BP","P","RNA metabolism","PGEN_.00g201280; PGEN_.00g086180; PGEN_.00g234200","Q9JII5; Q6PFD9; Q7ZWA3","DAZP1_MOUSE; NUP98_MOUSE; RBMX_DANRE","DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1); Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]; RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G)"
"4","GO:0000915",0.0139827829097656,0.998657567467768,3,10,"actomyosin contractile ring assembly","BP","P","cell cycle and proliferation","PGEN_.00g289090; PGEN_.00g173820; PGEN_.00g267550","E9Q5G3; Q02241; E9Q5G3","KIF23_MOUSE; KIF23_HUMAN; KIF23_MOUSE","Kinesin-like protein KIF23; Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23"
"5","GO:0051256",0.0165770916268764,0.998259724972539,3,11,"mitotic spindle midzone assembly","BP","P","cell cycle and proliferation","PGEN_.00g289090; PGEN_.00g173820; PGEN_.00g267550","E9Q5G3; Q02241; E9Q5G3","KIF23_MOUSE; KIF23_HUMAN; KIF23_MOUSE","Kinesin-like protein KIF23; Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23"
"6","GO:0042733",0.00231240018564431,0.999511611789059,8,31,"embryonic digit morphogenesis","BP","P","developmental processes","PGEN_.00g204470; PGEN_.00g190430; PGEN_.00g122380; PGEN_.00g304170; PGEN_.00g125500; PGEN_.00g325420; PGEN_.00g341580; PGEN_.00g290300","P41221; O75096; Q91VN0; Q9NSC2; Q0VGT2; Q6UX40; Q13485; P69478","WNT5A_HUMAN; LRP4_HUMAN; LRP5_MOUSE; SALL1_HUMAN; GLI2_MOUSE; TM107_HUMAN; SMAD4_HUMAN; CHSTB_RAT","Protein Wnt-5a; Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7); Sal-like protein 1 (Spalt-like transcription factor 1) (Zinc finger protein 794) (Zinc finger protein SALL1) (Zinc finger protein Spalt-1) (HSal1) (Sal-1); Zinc finger protein GLI2 (Tax helper protein); Transmembrane protein 107; Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4); Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1)"
"7","GO:0048814",0.0103903700850141,0.998160749466686,5,19,"regulation of dendrite morphogenesis","BP","P","developmental processes","PGEN_.00g199580; PGEN_.00g110560; PGEN_.00g177680; PGEN_.00g237080; PGEN_.00g199570","P46935; Q967D7; O15943; Q9UKE5; Q9VVI3","NEDD4_MOUSE; TUTL_DROME; CADN_DROME; TNIK_HUMAN; NEDD4_DROME","E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4); Protein turtle; Neural-cadherin (Cadherin-N) (dN-cadherin); TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1); E3 ubiquitin-protein ligase Nedd-4 (DNedd4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)"
"8","GO:0048754",0.0172749479352988,0.998333404844583,3,8,"branching morphogenesis of an epithelial tube","BP","P","developmental processes","PGEN_.00g211830; PGEN_.00g125500; PGEN_.00g242340","P16056; Q0VGT2; Q01705","MET_MOUSE; GLI2_MOUSE; NOTC1_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Zinc finger protein GLI2 (Tax helper protein); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]"
"9","GO:0001702",0.0257247764017575,0.99530769479679,4,17,"gastrulation with mouth forming second","BP","P","developmental processes","PGEN_.00g299380; PGEN_.00g010610; PGEN_.00g122380; PGEN_.00g341580","C0HL13; O75581; Q91VN0; Q13485","LRP2_PIG; LRP6_HUMAN; LRP5_MOUSE; SMAD4_HUMAN","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin); Low-density lipoprotein receptor-related protein 6 (LRP-6); Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7); Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4)"
"10","GO:0014033",0.035818747050425,0.997445294696196,2,6,"neural crest cell differentiation","BP","P","developmental processes","PGEN_.00g010610; PGEN_.00g341580","O75581; Q13485","LRP6_HUMAN; SMAD4_HUMAN","Low-density lipoprotein receptor-related protein 6 (LRP-6); Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4)"
