ID,scaffold,start,end,df_Initial.Treatment,df_Secondary.Treatment,df_Initial.Treatment.Secondary.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Secondary.Treatment,sumsq_Initial.Treatment.Secondary.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Secondary.Treatment,meansq_Initial.Treatment.Secondary.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Secondary.Treatment,statistic_Initial.Treatment.Secondary.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Secondary.Treatment,p.value_Initial.Treatment.Secondary.Treatment,p.value_Residuals
Scaffold_15:18341406-18341617,Scaffold_15,18341406,18341617,2,1,2,18,0.019775027,0.014568217,0.041951304,0.039013538,0.009887513,0.014568217,0.020975652,0.002167419,4.561884153,6.721459367,9.677710896,NA,0.024963318,0.018383899,0.001400457,NA
Scaffold_15:5533043-5533095,Scaffold_15,5533043,5533095,2,1,2,18,0.019014557,0.031308918,0.10105508,0.098651656,0.009507278,0.031308918,0.05052754,0.005480648,1.734699826,5.71263116,9.219264598,NA,0.204679073,0.027988861,0.001751479,NA
Scaffold_17:31630703-31630882,Scaffold_17,31630703,31630882,2,1,2,18,0.012953955,0.065056509,0.746176673,0.800210033,0.006476977,0.065056509,0.373088336,0.044456113,0.14569374,1.463387245,8.392284251,NA,0.865431498,0.242040474,0.002660559,NA
Scaffold_04:12562372-12563194,Scaffold_04,12562372,12563194,2,1,2,17,0.060591232,0.119535004,1.376648354,1.573418816,0.030295616,0.119535004,0.688324177,0.092554048,0.327328916,1.291515673,7.436997,NA,0.725290085,0.271535749,0.004781957,NA
Scaffold_04:13169503-13169693,Scaffold_04,13169503,13169693,2,1,2,15,0.350093584,0.086225797,1.39861378,1.394555239,0.175046792,0.086225797,0.69930689,0.092970349,1.882823863,0.927454801,7.521827076,NA,0.186405082,0.350794675,0.005464354,NA
Scaffold_01:47239858-47240005,Scaffold_01,47239858,47240005,2,1,2,16,0.018626331,0.002065273,0.732575703,0.812187517,0.009313165,0.002065273,0.366287851,0.05076172,0.183468277,0.040685646,7.215828241,NA,0.834104896,0.842688092,0.005839224,NA
Scaffold_01:26543165-26543359,Scaffold_01,26543165,26543359,2,1,2,18,0.14275265,0.002777197,0.123811096,0.165559326,0.071376325,0.002777197,0.061905548,0.00919774,7.760202234,0.30194343,6.730517034,NA,0.003712524,0.589419795,0.006568945,NA
Scaffold_02:64410497-64410614,Scaffold_02,64410497,64410614,2,1,2,16,0.06664287,0.008830254,0.496415619,0.628336944,0.033321435,0.008830254,0.24820781,0.039271059,0.848498508,0.224853973,6.320374752,NA,0.446440145,0.64177268,0.009486037,NA
Scaffold_04:49794463-49794496,Scaffold_04,49794463,49794496,2,1,2,18,0.040354574,1.85E-05,0.483007611,0.750114694,0.020177287,1.85E-05,0.241503806,0.041673039,0.484180839,0.00044447,5.795205102,NA,0.623999366,0.983411834,0.011404958,NA
Scaffold_04:10439183-10439504,Scaffold_04,10439183,10439504,2,1,2,18,0.011942783,0.007179195,0.104133199,0.166936285,0.005971392,0.007179195,0.0520666,0.009274238,0.643868714,0.774100822,5.614110772,NA,0.536934091,0.390546914,0.012741807,NA
Scaffold_08:49680654-49680667,Scaffold_08,49680654,49680667,2,1,2,15,0.025801477,0.018437563,0.279810952,0.379336287,0.012900739,0.018437563,0.139905476,0.025289086,0.510130686,0.729071935,5.532247263,NA,0.61046738,0.406614011,0.015860418,NA
Scaffold_10:31349891-31350026,Scaffold_10,31349891,31350026,2,1,2,18,0.000319861,0.025995907,0.188394876,0.322670654,0.00015993,0.025995907,0.094197438,0.017926147,0.008921622,1.450166978,5.254750813,NA,0.991122438,0.24409799,0.015942114,NA
Scaffold_15:7012100-7012255,Scaffold_15,7012100,7012255,2,1,2,18,0.005219687,0.003560968,0.020902455,0.036534432,0.002609844,0.003560968,0.010451227,0.002029691,1.28583318,1.754438829,5.149172414,NA,0.300626525,0.201891822,0.017045245,NA
Scaffold_04:716945-717049,Scaffold_04,716945,717049,2,1,2,17,0.005990898,0.004123033,0.302395071,0.501411501,0.002995449,0.004123033,0.151197536,0.029494794,0.101558559,0.139788492,5.126244816,NA,0.903972234,0.713113479,0.018107699,NA
