"Table S15. GO enrichment analysis of significant differentially methylated genes between between the pH treatments at Day 135. Column name numDEInCat is 'number of differentially expressed genes in category; column name numInCat is 'number of genes in category'; column name Cat is 'category'; F = Molecular Function, P = Biological Process; C = Cellular Component",GO.IDs,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Cat,GO.Slim.Term,gene,uniprot,uniprot_taxa.id,uniprot.name
1,GO:2001013,0.017038628,0.999351929,2,4,epithelial cell proliferation involved in renal tubule morphogenesis,BP,P,cell cycle and proliferation,PGEN_.00g171350; PGEN_.00g171340,Q8R1S4; O43312,MTSS1_MOUSE; MTSS1_HUMAN,Protein MTSS 1 (Metastasis suppressor protein 1) (Missing in metastasis protein); Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)
2,GO:0033262,0.028602334,0.998558782,2,4,regulation of nuclear cell cycle DNA replication,BP,P,cell cycle and proliferation,PGEN_.00g036880; PGEN_.00g250420,Q68CJ6; Q68CJ6,SLIP_HUMAN; SLIP_HUMAN,Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center); Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)
3,GO:0043486,0.011198935,0.999757361,2,3,histone exchange,BP,P,cell organization and biogenesis,PGEN_.00g150440; PGEN_.00g040360,Q6ZRS2; Q8I8U7,SRCAP_HUMAN; TRA1_DROME,Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator); Transcription-associated protein 1 (dTRA1)
4,GO:0000226,0.032494863,0.990342385,6,43,microtubule cytoskeleton organization,BP,P,cell organization and biogenesis,PGEN_.00g057650; PGEN_.00g274530; PGEN_.00g278620; PGEN_.00g301440; PGEN_.00g269010; PGEN_.00g233580,Q28205; P06603; Q8K389; Q5T5Y3; Q8TEW0; P68372,TBCD_BOVIN; TBA1_DROME; CK5P2_MOUSE; CAMP1_HUMAN; PARD3_HUMAN; TBB4B_MOUSE,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D); Tubulin alpha-1 chain; CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48); Calmodulin-regulated spectrin-associated protein 1; Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha); Tubulin beta-4B chain (Tubulin beta-2C chain)
5,GO:0031860,0.040638303,1,1,1,telomeric 3' overhang formation,BP,P,cell organization and biogenesis,PGEN_.00g041570,Q9JIM0,MRE11_RAT,Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)
6,GO:0030717,0.042352838,1,1,1,oocyte karyosome formation,BP,P,cell organization and biogenesis,PGEN_.00g264480,O61267,LOK_DROME,Ovarian-specific serine/threonine-protein kinase Lok (EC 2.7.11.1) (Protein loki) (dMNK)
7,GO:0070830,0.043577975,0.993332199,3,11,bicellular tight junction assembly,BP,P,cell organization and biogenesis,PGEN_.00g017050; PGEN_.00g057650; PGEN_.00g269010,Q5RDQ2; Q28205; Q8TEW0,MPP5_PONAB; TBCD_BOVIN; PARD3_HUMAN,MAGUK p55 subfamily member 5; Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D); Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)
8,GO:0022604,0.043941522,0.992781973,3,16,regulation of cell morphogenesis,BP,P,cell organization and biogenesis,PGEN_.00g206990; PGEN_.00g301440; PGEN_.00g223270,Q5SVZ6; Q5T5Y3; Q803T2,ZMYM1_HUMAN; CAMP1_HUMAN; STRP1_DANRE,Zinc finger MYM-type protein 1; Calmodulin-regulated spectrin-associated protein 1; Striatin-interacting protein 1 homolog
9,GO:0086045,0.04086334,1,1,1,membrane depolarization during AV node cell action potential,BP,P,cell-cell signaling,PGEN_.00g252700,Q9ESQ5,TRPM4_RAT,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)
10,GO:0086047,0.04086334,1,1,1,membrane depolarization during Purkinje myocyte cell action potential,BP,P,cell-cell signaling,PGEN_.00g252700,Q9ESQ5,TRPM4_RAT,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)
11,GO:0086048,0.04086334,1,1,1,membrane depolarization during bundle of His cell action potential,BP,P,cell-cell signaling,PGEN_.00g252700,Q9ESQ5,TRPM4_RAT,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)
12,GO:1901299,0.041737546,1,1,1,negative regulation of hydrogen peroxide-mediated programmed cell death,BP,P,death,PGEN_.00g211830,P16056,MET_MOUSE,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
13,GO:0030502,0.008336162,1,2,2,negative regulation of bone mineralization,BP,P,developmental processes,PGEN_.00g252700; PGEN_.00g232320,Q9ESQ5; Q8CGN4,TRPM4_RAT; BCOR_MOUSE,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2); BCL-6 corepressor (BCoR)
14,GO:0055013,0.009454505,0.999737067,2,4,cardiac muscle cell development,BP,P,developmental processes,PGEN_.00g211830; PGEN_.00g085220,P16056; P82349,MET_MOUSE; SGCB_MOUSE,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Beta-sarcoglycan (Beta-SG) (43 kDa dystrophin-associated glycoprotein) (43DAG)
15,GO:0060740,0.009462663,0.99981255,2,3,prostate gland epithelium morphogenesis,BP,P,developmental processes,PGEN_.00g149640; PGEN_.00g242340,Q80YX1; Q01705,TENA_MOUSE; NOTC1_MOUSE,Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]
16,GO:0072160,0.010437942,0.99978217,2,3,nephron tubule epithelial cell differentiation,BP,P,developmental processes,PGEN_.00g171350; PGEN_.00g171340,Q8R1S4; O43312,MTSS1_MOUSE; MTSS1_HUMAN,Protein MTSS 1 (Metastasis suppressor protein 1) (Missing in metastasis protein); Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)
17,GO:0090051,0.014829579,0.999476379,2,4,negative regulation of cell migration involved in sprouting angiogenesis,BP,P,developmental processes,PGEN_.00g098500; PGEN_.00g242340,Q923Q2; Q01705,STA13_MOUSE; NOTC1_MOUSE,StAR-related lipid transfer protein 13 (START domain-containing protein 13) (StARD13); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]
18,GO:0048709,0.01604932,0.998336193,3,11,oligodendrocyte differentiation,BP,P,developmental processes,PGEN_.00g047880; PGEN_.00g242340; PGEN_.00g009140,P57103; Q01705; Q8BYM5,NAC3_HUMAN; NOTC1_MOUSE; NLGN3_MOUSE,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Neuroligin-3 (Gliotactin homolog)
