"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GO.Term","GO.Slim.Term","Cat","gene","uniprot","uniprot_taxa.id","uniprot.name"
"1","GO:0048144",0.0161959345328096,1,1,1,"fibroblast proliferation","BP","fibroblast proliferation","cell cycle and proliferation","P","PGEN_.00g208580","Q3L254","WNT7B_CHICK","Protein Wnt-7b"
"2","GO:0045836",0.0218628426140628,0.999880283333197,1,2,"positive regulation of meiotic nuclear division","BP","positive regulation of meiosis","cell cycle and proliferation","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"3","GO:0050680",0.0274539509941273,0.997876885359956,2,25,"negative regulation of epithelial cell proliferation","BP","negative regulation of epithelial cell proliferation","cell cycle and proliferation","P","PGEN_.00g051430; PGEN_.00g204470","Q2HJF4; P41221","PBLD_BOVIN; WNT5A_HUMAN","Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-); Protein Wnt-5a"
"4","GO:0060750",0.0279575732281232,0.999803618114895,1,2,"epithelial cell proliferation involved in mammary gland duct elongation","BP","","cell cycle and proliferation","","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"5","GO:0051450",0.0328133047345852,0.999639073962539,1,3,"myoblast proliferation","BP","myoblast proliferation","cell cycle and proliferation","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"6","GO:0042130",0.0415988469922808,0.999345551072399,1,4,"negative regulation of T cell proliferation","BP","negative regulation of T cell proliferation","cell cycle and proliferation","P","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"7","GO:0033262",0.0475788620267997,0.999141640613516,1,4,"regulation of nuclear cell cycle DNA replication","BP","regulation of DNA replication during S phase","cell cycle and proliferation","P","PGEN_.00g036880","Q68CJ6","SLIP_HUMAN","Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"
"8","GO:0030011",0.0353935361363606,0.999579581770314,1,3,"maintenance of cell polarity","BP","maintenance of cell polarity","cell organization and biogenesis","P","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"9","GO:0065003",0.0356113315759325,0.996794379322338,2,31,"protein-containing complex assembly","BP","macromolecular complex assembly","cell organization and biogenesis","P","PGEN_.00g049510; PGEN_.00g186170","Q8TDM6; P82251","DLG5_HUMAN; BAT1_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG); b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)"
"10","GO:0045186",0.0402812445793433,0.999386702646394,1,4,"zonula adherens assembly","BP","zonula adherens assembly","cell organization and biogenesis","P","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"11","GO:0051964",0.0423120404682712,0.999397234562153,1,3,"negative regulation of synapse assembly","BP","negative regulation of synaptogenesis","cell organization and biogenesis","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"12","GO:0031034",0.0438283855346478,0.999352803358682,1,3,"myosin filament assembly","BP","myosin filament assembly","cell organization and biogenesis","P","PGEN_.00g334400","O01761","UNC89_CAEEL","Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"
"13","GO:0021785",0.0460796336301323,0.999283862091608,1,3,"branchiomotor neuron axon guidance","BP","branchiomotor neuron axon guidance","cell organization and biogenesis","P","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"14","GO:0048813",0.0464627385696741,0.995158813429314,2,32,"dendrite morphogenesis","BP","dendrite morphogenesis","cell organization and biogenesis","P","PGEN_.00g190430; PGEN_.00g279870","O75096; P00522","LRP4_HUMAN; ABL_DROME","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
