ID,scaffold,start,end,df_TimePoint,df_Residuals,sumsq_TimePoint,sumsq_Residuals,meansq_TimePoint,meansq_Residuals,statistic_TimePoint,statistic_Residuals,p.value_TimePoint,p.value_Residuals
Scaffold_03:37337010-37337167,Scaffold_03,37337010,37337167,3,12,0.105876633418012,0.0265517901231412,0.0352922111393374,0.00221264917692843,15.9502064345915,NA,0.00017335482886725,NA
Scaffold_14:39013123-39013316,Scaffold_14,39013123,39013316,3,12,0.592909091715248,0.177977611254397,0.197636363905083,0.0148314676045331,13.3254758851158,NA,0.000397697946178484,NA
Scaffold_09:21159874-21159960,Scaffold_09,21159874,21159960,3,11,1.8098133822692,0.506114228990683,0.603271127423068,0.0460103844536985,13.1116297893611,NA,0.0005935847181279,NA
Scaffold_05:49645620-49645778,Scaffold_05,49645620,49645778,3,11,0.926684559070225,0.336343983581706,0.308894853023408,0.0305767257801551,10.1022867930446,NA,0.00171615124059717,NA
Scaffold_06:3685281-3685367,Scaffold_06,3685281,3685367,3,12,0.264808801507147,0.116299613560159,0.0882696005023824,0.00969163446334655,9.1078136341414,NA,0.00203447129337304,NA
Scaffold_04:10742649-10742936,Scaffold_04,10742649,10742936,3,12,0.814288754402077,0.371417469612836,0.271429584800692,0.0309514558010697,8.76952562571586,NA,0.00236879350569556,NA
Scaffold_13:9210492-9210685,Scaffold_13,9210492,9210685,3,12,0.0860186811997879,0.0407885978387755,0.0286728937332626,0.00339904981989796,8.43556148115634,NA,0.00276325710956174,NA
Scaffold_01:88434573-88434636,Scaffold_01,88434573,88434636,3,12,0.0438687099578009,0.0237700694740442,0.014622903319267,0.00198083912283701,7.38217614478638,NA,0.00461561943685439,NA
Scaffold_07:2369619-2369938,Scaffold_07,2369619,2369938,3,11,0.236374523100353,0.116488450252813,0.0787915077001178,0.0105898591138921,7.44027912484282,NA,0.00539467974590621,NA
Scaffold_17:23925657-23925741,Scaffold_17,23925657,23925741,3,9,0.574566405496346,0.202761107507491,0.191522135165449,0.0225290119452768,8.50113336664111,NA,0.00542289499699421,NA
Scaffold_06:41617861-41618282,Scaffold_06,41617861,41618282,3,12,0.510197170227135,0.288957676594641,0.170065723409045,0.0240798063828868,7.06258682918267,NA,0.00544130932797502,NA
Scaffold_05:15695759-15695979,Scaffold_05,15695759,15695979,3,12,0.137455183859304,0.0809052651496018,0.0458183946197681,0.00674210542913348,6.79585851947391,NA,0.00626414148916455,NA
Scaffold_15:5119563-5119946,Scaffold_15,5119563,5119946,3,12,0.385636607053953,0.228068104191629,0.128545535684651,0.0190056753493024,6.76353422449517,NA,0.00637337606437628,NA
Scaffold_09:16951929-16952149,Scaffold_09,16951929,16952149,3,9,1.95381077495995,0.735978551196988,0.651270258319982,0.0817753945774431,7.96413470928857,NA,0.00667970601602859,NA
Scaffold_01:9786513-9786551,Scaffold_01,9786513,9786551,3,12,0.138009927258043,0.0850679629722985,0.0460033090860144,0.00708899691435821,6.48939612215634,NA,0.00739449397033521,NA
Scaffold_12:19797007-19798083,Scaffold_12,19797007,19798083,3,12,1.30257335442557,0.807839454465675,0.434191118141858,0.0673199545388062,6.44966445857552,NA,0.00755776118957483,NA
Scaffold_10:48558078-48558128,Scaffold_10,48558078,48558128,3,10,1.24294600507323,0.591076320546101,0.414315335024408,0.0591076320546101,7.0095065666244,NA,0.0080458492962102,NA
Scaffold_13:33055259-33055425,Scaffold_13,33055259,33055425,3,12,0.0156475714065545,0.0102470527463663,0.00521585713551817,0.000853921062197194,6.10812564114233,NA,0.00914837553893718,NA
Scaffold_13:33055437-33055482,Scaffold_13,33055437,33055482,3,12,0.0237596204001128,0.015584652961429,0.00791987346670426,0.00129872108011908,6.09820968331251,NA,0.00920007048386933,NA
Scaffold_04:45804183-45804272,Scaffold_04,45804183,45804272,3,9,2.78281492058322,1.17564882572614,0.927604973527742,0.130627647302904,7.10113817924607,NA,0.00953941924650741,NA
