"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"1","GO:0000915",0.0247935658661273,0.998343622334795,2,10,"actomyosin contractile ring assembly","BP","P","cell cycle and proliferation","PGEN_.00g267550; PGEN_.00g243530","E9Q5G3; E9Q5G3","KIF23_MOUSE; KIF23_MOUSE","Kinesin-like protein KIF23; Kinesin-like protein KIF23"
"2","GO:0051256",0.0276327378384728,0.998010644589364,2,11,"mitotic spindle midzone assembly","BP","P","cell cycle and proliferation","PGEN_.00g267550; PGEN_.00g243530","E9Q5G3; E9Q5G3","KIF23_MOUSE; KIF23_MOUSE","Kinesin-like protein KIF23; Kinesin-like protein KIF23"
"3","GO:2000301",0.0472384270341386,0.999429874443792,1,2,"negative regulation of synaptic vesicle exocytosis","BP","P","cell-cell signaling","PGEN_.00g215970","Q6TEN1","RAP1B_DANRE","Ras-related protein Rap-1b"
"4","GO:0060027",0.00897605564063319,0.999827353531687,2,3,"convergent extension involved in gastrulation","BP","P","developmental processes","PGEN_.00g303590; PGEN_.00g036790","Q4H4B6; Q08BI9","SCRIB_DANRE; MCU_DANRE","Protein scribble homolog (Scribble1); Calcium uniporter protein, mitochondrial"
"5","GO:0035261",0.0166094998641307,0.999219226083548,2,6,"external genitalia morphogenesis","BP","P","developmental processes","PGEN_.00g010610; PGEN_.00g008040","O75581; Q6KCD5","LRP6_HUMAN; NIPBL_MOUSE","Low-density lipoprotein receptor-related protein 6 (LRP-6); Nipped-B-like protein (Delangin homolog) (SCC2 homolog)"
"6","GO:0003428",0.0244864372246429,1,1,1,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP","P","developmental processes","PGEN_.00g215970","Q6TEN1","RAP1B_DANRE","Ras-related protein Rap-1b"
"7","GO:0060536",0.0244864372246429,1,1,1,"cartilage morphogenesis","BP","P","developmental processes","PGEN_.00g215970","Q6TEN1","RAP1B_DANRE","Ras-related protein Rap-1b"
"8","GO:0035886",0.0258483159490244,1,1,1,"vascular associated smooth muscle cell differentiation","BP","P","developmental processes","PGEN_.00g122490","Q9H2F5","EPC1_HUMAN","Enhancer of polycomb homolog 1"
"9","GO:0007491",0.0426135313270594,0.999537157923488,1,2,"sternite morphogenesis","BP","P","developmental processes","PGEN_.00g162010","Q961D9","BCL9_DROME","Protein BCL9 homolog (Protein legless)"
"10","GO:0035223",0.0426135313270594,0.999537157923488,1,2,"leg disc pattern formation","BP","P","developmental processes","PGEN_.00g162010","Q961D9","BCL9_DROME","Protein BCL9 homolog (Protein legless)"
"11","GO:0035293",0.0426135313270594,0.999537157923488,1,2,"chitin-based larval cuticle pattern formation","BP","P","developmental processes","PGEN_.00g162010","Q961D9","BCL9_DROME","Protein BCL9 homolog (Protein legless)"
"12","GO:0040024",0.0430803742408247,1,1,1,"dauer larval development","BP","P","developmental processes","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"13","GO:0061065",0.0430803742408247,1,1,1,"regulation of dauer larval development","BP","P","developmental processes","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"14","GO:0061066",0.0430803742408247,1,1,1,"positive regulation of dauer larval development","BP","P","developmental processes","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"15","GO:0045061",0.0493779987589912,1,1,1,"thymic T cell selection","BP","P","developmental processes","PGEN_.00g045860","Q8CIS0","CAR11_MOUSE","Caspase recruitment domain-containing protein 11"
"16","GO:0030336",0.00788740278859838,0.998264076226758,6,56,"negative regulation of cell migration","BP","P","other biological processes","PGEN_.00g101900; PGEN_.00g209300; PGEN_.00g147860; PGEN_.00g240170; PGEN_.00g093280; PGEN_.00g064850","P35822; Q7Z6B7; P21359; Q99M80; Q15262; E9Q7E2","PTPRK_MOUSE; SRGP1_HUMAN; NF1_HUMAN; PTPRT_MOUSE; PTPRK_HUMAN; ARID2_MOUSE","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48); SLIT-ROBO Rho GTPase-activating protein 1 (srGAP1) (Rho GTPase-activating protein 13); Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]; Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (RPTPmam4) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho) (mRPTPrho); Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48); AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)"
"17","GO:0032467",0.0162679553911206,0.998142177010673,3,19,"positive regulation of cytokinesis","BP","P","other biological processes","PGEN_.00g267550; PGEN_.00g243530; PGEN_.00g145470","E9Q5G3; E9Q5G3; O14578","KIF23_MOUSE; KIF23_MOUSE; CTRO_HUMAN","Kinesin-like protein KIF23; Kinesin-like protein KIF23; Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)"
