"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term"
"1","GO:0000915",0.0247935658661273,0.998343622334795,2,10,"actomyosin contractile ring assembly","BP","P","cell cycle and proliferation"
"2","GO:0051256",0.0276327378384728,0.998010644589364,2,11,"mitotic spindle midzone assembly","BP","P","cell cycle and proliferation"
"3","GO:2000301",0.0472384270341386,0.999429874443792,1,2,"negative regulation of synaptic vesicle exocytosis","BP","P","cell-cell signaling"
"4","GO:0060027",0.00897605564063319,0.999827353531687,2,3,"convergent extension involved in gastrulation","BP","P","developmental processes"
"5","GO:0035261",0.0166094998641307,0.999219226083548,2,6,"external genitalia morphogenesis","BP","P","developmental processes"
"6","GO:0003428",0.0244864372246429,1,1,1,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP","P","developmental processes"
"7","GO:0060536",0.0244864372246429,1,1,1,"cartilage morphogenesis","BP","P","developmental processes"
"8","GO:0035886",0.0258483159490244,1,1,1,"vascular associated smooth muscle cell differentiation","BP","P","developmental processes"
"9","GO:0007491",0.0426135313270594,0.999537157923488,1,2,"sternite morphogenesis","BP","P","developmental processes"
"10","GO:0035223",0.0426135313270594,0.999537157923488,1,2,"leg disc pattern formation","BP","P","developmental processes"
"11","GO:0035293",0.0426135313270594,0.999537157923488,1,2,"chitin-based larval cuticle pattern formation","BP","P","developmental processes"
"12","GO:0040024",0.0430803742408247,1,1,1,"dauer larval development","BP","P","developmental processes"
"13","GO:0061065",0.0430803742408247,1,1,1,"regulation of dauer larval development","BP","P","developmental processes"
"14","GO:0061066",0.0430803742408247,1,1,1,"positive regulation of dauer larval development","BP","P","developmental processes"
"15","GO:0045061",0.0493779987589912,1,1,1,"thymic T cell selection","BP","P","developmental processes"
"16","GO:0030336",0.00788740278859838,0.998264076226758,6,56,"negative regulation of cell migration","BP","P","other biological processes"
"17","GO:0032467",0.0162679553911206,0.998142177010673,3,19,"positive regulation of cytokinesis","BP","P","other biological processes"
"18","GO:0007638",0.0202742963775153,0.998882661265538,2,7,"mechanosensory behavior","BP","P","other biological processes"
"19","GO:0045446",0.0215344244765181,1,1,1,"endothelial cell differentiation","BP","P","other biological processes"
"20","GO:0060026",0.0258198172399964,0.998273366424894,2,9,"convergent extension","BP","P","other biological processes"
"21","GO:0033500",0.0323020558982373,1,1,1,"carbohydrate homeostasis","BP","P","other biological processes"
"22","GO:0001770",0.0352619556049385,1,1,1,"establishment of natural killer cell polarity","BP","P","other biological processes"
"23","GO:0030593",0.0393630561516848,0.996621942716052,2,10,"neutrophil chemotaxis","BP","P","other biological processes"
"24","GO:0060325",0.0406094582493639,0.996526752977102,2,9,"face morphogenesis","BP","P","other biological processes"
"25","GO:0044089",0.047224026883177,1,1,1,"positive regulation of cellular component biogenesis","BP","P","other biological processes"
"26","GO:0060285",0.0487985762365187,0.995286130084491,2,10,"cilium-dependent cell motility","BP","P","other biological processes"
"27","GO:0046649",0.0493779987589912,1,1,1,"lymphocyte activation","BP","P","other biological processes"
"28","GO:0006520",0.017633948641816,0.997912079757009,3,20,"cellular amino acid metabolic process","BP","P","other metabolic processes"
"29","GO:0006744",0.0195172576263372,0.998852558366869,2,10,"ubiquinone biosynthetic process","BP","P","other metabolic processes"
"30","GO:0042774",0.0215344244765181,1,1,1,"plasma membrane ATP synthesis coupled electron transport","BP","P","other metabolic processes"
"31","GO:0006666",0.0215344301496066,1,1,1,"3-keto-sphinganine metabolic process","BP","P","other metabolic processes"
"32","GO:0009710",0.0215347684234734,1,1,1,"tropane alkaloid biosynthetic process","BP","P","other metabolic processes"
"33","GO:0010028",0.0215359916841374,1,1,1,"xanthophyll cycle","BP","P","other metabolic processes"
"34","GO:0009236",0.0222367831411238,1,1,1,"cobalamin biosynthetic process","BP","P","other metabolic processes"
"35","GO:0034638",0.0229936071056007,1,1,1,"phosphatidylcholine catabolic process","BP","P","other metabolic processes"
"36","GO:0046338",0.0229936071056007,1,1,1,"phosphatidylethanolamine catabolic process","BP","P","other metabolic processes"
"37","GO:0070221",0.0267556766694274,1,1,1,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP","P","other metabolic processes"
"38","GO:0006572",0.0330556674961615,1,1,1,"tyrosine catabolic process","BP","P","other metabolic processes"
"39","GO:0006566",0.0338489029182761,1,1,1,"threonine metabolic process","BP","P","other metabolic processes"
"40","GO:0009070",0.0338489029182761,1,1,1,"serine family amino acid biosynthetic process","BP","P","other metabolic processes"
"41","GO:0009448",0.0338489029182761,1,1,1,"gamma-aminobutyric acid metabolic process","BP","P","other metabolic processes"
"42","GO:0042126",0.0426064462620249,0.999537313515321,1,2,"nitrate metabolic process","BP","P","other metabolic processes"
"43","GO:1901307",0.0464759729867295,1,1,1,"positive regulation of spermidine biosynthetic process","BP","P","other metabolic processes"
"44","GO:0070813",0.0480363657616851,0.999410206371926,1,2,"hydrogen sulfide metabolic process","BP","P","other metabolic processes"
"45","GO:0009249",0.0215344244765181,1,1,1,"protein lipoylation","BP","P","protein metabolism"
"46","GO:0050651",0.0215344244765181,1,1,1,"dermatan sulfate proteoglycan biosynthetic process","BP","P","protein metabolism"
"47","GO:0018272",0.0305235522037138,1,1,1,"protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine","BP","P","protein metabolism"
"48","GO:0044524",0.0305235522037138,1,1,1,"protein sulfhydration","BP","P","protein metabolism"
"49","GO:0043968",0.031388625892167,0.997579348291949,2,11,"histone H2A acetylation","BP","P","protein metabolism"
"50","GO:0000454",0.0215344244765181,1,1,1,"snoRNA guided rRNA pseudouridine synthesis","BP","P","RNA metabolism"
"51","GO:0043629",0.0323020558982373,1,1,1,"ncRNA polyadenylation","BP","P","RNA metabolism"
