"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"29","GO:0005654",0.0377876179693105,0.972219233351878,65,914,NA,NA,"MATCH",1,"GO:0005654","nucleoplasm","CC","That part of the nuclear content other than the chromosomes or the nucleolus.","GOTerm"
"26","GO:0005524",0.0137987875877505,0.990608345626874,58,758,NA,NA,"MATCH",1,"GO:0005524","ATP binding","MF","Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.","GOTerm"
"106","GO:0045944",0.0190893917346736,0.988531785570405,31,366,NA,NA,"MATCH",1,"GO:0045944","positive regulation of transcription by RNA polymerase II","BP","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.","GOTerm"
"32","GO:0005874",0.00506340314243945,0.997634347140379,21,200,NA,NA,"MATCH",1,"GO:0005874","microtubule","CC","Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.","GOTerm"
"52","GO:0016055",1.95734961972435e-05,0.999995128038112,17,93,NA,NA,"MATCH",1,"GO:0016055","Wnt signaling pathway","BP","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state.","GOTerm"
"47","GO:0010629",0.0109381969143336,0.995414370732791,14,124,NA,NA,"MATCH",1,"GO:0010629","negative regulation of gene expression","BP","Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.","GOTerm"
"20","GO:0004672",0.00670317666022415,0.997586064736947,12,94,NA,NA,"MATCH",1,"GO:0004672","protein kinase activity","MF","Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.","GOTerm"
"40","GO:0008017",0.0356790559122349,0.983616209640367,12,117,NA,NA,"MATCH",1,"GO:0008017","microtubule binding","MF","Interacting selectively and non-covalently with microtubules, filaments composed of tubulin monomers.","GOTerm"
"36","GO:0007018",0.00634090463497223,0.997859751430692,11,81,NA,NA,"MATCH",1,"GO:0007018","microtubule-based movement","BP","A microtubule-based process that results in the movement of organelles, other microtubules, or other cellular components.  Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules.","GOTerm"
"39","GO:0007411",0.0377701728963729,0.983972844791175,10,92,NA,NA,"MATCH",1,"GO:0007411","axon guidance","BP","The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues.","GOTerm"
"94","GO:0043235",0.0394748172180111,0.983108516675244,10,94,NA,NA,"MATCH",1,"GO:0043235","receptor complex","CC","Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.","GOTerm"
"50","GO:0015629",0.0287072929507509,0.989059529529964,9,76,NA,NA,"MATCH",1,"GO:0015629","actin cytoskeleton","CC","The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes.","GOTerm"
"107","GO:0046777",0.0207589311943169,0.992544336180507,9,72,NA,NA,"MATCH",1,"GO:0046777","protein autophosphorylation","BP","The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation).","GOTerm"
"37","GO:0007219",0.0403900482654724,0.984654630843137,8,68,NA,NA,"MATCH",1,"GO:0007219","Notch signaling pathway","BP","A series of molecular signals initiated by the binding of an extracellular ligand to the receptor Notch on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription.","GOTerm"
"58","GO:0018105",0.0115927866230027,0.996561854946231,8,54,NA,NA,"MATCH",1,"GO:0018105","peptidyl-serine phosphorylation","BP","The phosphorylation of peptidyl-serine to form peptidyl-O-phospho-L-serine.","GOTerm"
"124","GO:0051091",0.00125118213778937,0.999752699622125,8,39,NA,NA,"MATCH",1,"GO:0051091","positive regulation of DNA-binding transcription factor activity","BP","Any process that activates or increases the frequency, rate or extent of activity of a transcription factor, any factor involved in the initiation or regulation of transcription.","GOTerm"
"133","GO:0060070",0.000114938645174069,0.999985106824314,8,28,NA,NA,"MATCH",1,"GO:0060070","canonical Wnt signaling pathway","BP","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes. In this pathway, the activated receptor signals via downstream effectors that result in the inhibition of beta-catenin phosphorylation, thereby preventing degradation of beta-catenin. Stabilized beta-catenin can then accumulate and travel to the nucleus to trigger changes in transcription of target genes.","GOTerm"
"63","GO:0030165",0.0262418929403253,0.991676943166503,7,51,NA,NA,"MATCH",1,"GO:0030165","PDZ domain binding","MF","Interacting selectively and non-covalently with a PDZ domain of a protein, a domain found in diverse signaling proteins.","GOTerm"
"64","GO:0030286",0.00880735504456012,0.997787751327978,7,42,NA,NA,"MATCH",1,"GO:0030286","dynein complex","CC","Any of several large complexes that contain two or three dynein heavy chains and several light chains, and have microtubule motor activity.","GOTerm"
"90","GO:0042733",0.0013467675377628,0.99977018864039,7,30,NA,NA,"MATCH",1,"GO:0042733","embryonic digit morphogenesis","BP","The process, occurring in the embryo, by which the anatomical structures of the digit are generated and organized. A digit is one of the terminal divisions of an appendage, such as a finger or toe.","GOTerm"
"91","GO:0042752",0.0032120901843188,0.999342941672243,7,36,NA,NA,"MATCH",1,"GO:0042752","regulation of circadian rhythm","BP","Any process that modulates the frequency, rate or extent of a circadian rhythm. A circadian rhythm is a biological process in an organism that recurs with a regularity of approximately 24 hours.","GOTerm"
"151","GO:0090090",0.0159439412801684,0.99546547175192,7,46,NA,NA,"MATCH",1,"GO:0090090","negative regulation of canonical Wnt signaling pathway","BP","Any process that decreases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes.","GOTerm"
"31","GO:0005871",0.0231526894313011,0.993684068486681,6,39,NA,NA,"MATCH",1,"GO:0005871","kinesin complex","CC","Any complex that includes a dimer of molecules from the kinesin superfamily, a group of related proteins that contain an extended region of predicted alpha-helical coiled coil in the main chain that likely produces dimerization. The native complexes of several kinesin family members have also been shown to contain additional peptides, often designated light chains as all of the noncatalytic subunits that are currently known are smaller than the chain that contains the motor unit. Kinesin complexes generally possess a force-generating enzymatic activity, or motor, which converts the free energy of the gamma phosphate bond of ATP into mechanical work.","GOTerm"
"66","GO:0030514",0.00649681999062117,0.998690226657965,6,31,NA,NA,"MATCH",1,"GO:0030514","negative regulation of BMP signaling pathway","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of the BMP signaling pathway.","GOTerm"
"80","GO:0034765",0.0178523000430534,0.995429787356042,6,37,NA,NA,"MATCH",1,"GO:0034765","regulation of ion transmembrane transport","BP","Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other.","GOTerm"
"154","GO:0097110",0.0318060251686424,0.990606473495372,6,42,NA,NA,"MATCH",1,"GO:0097110","scaffold protein binding","MF","Interacting selectively and non-covalently with a scaffold protein. Scaffold proteins are crucial regulators of many key signaling pathways. Although not strictly defined in function, they are known to interact and/or bind with multiple members of a signaling pathway, tethering them into complexes.","GOTerm"
"15","GO:0003707",0.00724185809197173,0.99879704291596,5,22,NA,NA,"MATCH",1,"GO:0003707","steroid hormone receptor activity","MF","Combining with a steroid hormone and transmitting the signal within the cell to initiate a change in cell activity or function.","GOTerm"
"19","GO:0004518",0.00807448262086909,0.998612949781295,5,23,"nuclease activity","MF","MATCH",1,"GO:0004518","nuclease activity","MF","Catalysis of the hydrolysis of ester linkages within nucleic acids.","GOSlimTerm"
"27","GO:0005623",0.0460238709274492,0.987014459500843,5,35,"cell","CC","MATCH",1,"GO:0005623","cell","CC","The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.","GOTerm"
"28","GO:0005643",0.0266298990111938,0.993602001869387,5,30,NA,NA,"MATCH",1,"GO:0005643","nuclear pore","CC","Any of the numerous similar discrete openings in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined.","GOTerm"
"56","GO:0017046",0.0150575541585091,0.996927063311,5,26,NA,NA,"MATCH",1,"GO:0017046","peptide hormone binding","MF","Interacting selectively and non-covalently with any peptide with hormonal activity in animals.","GOTerm"
"59","GO:0018107",0.042851910667013,0.988171217901688,5,34,NA,NA,"MATCH",1,"GO:0018107","peptidyl-threonine phosphorylation","BP","The phosphorylation of peptidyl-threonine to form peptidyl-O-phospho-L-threonine.","GOTerm"
"61","GO:0022008",0.0363941785011587,0.990413519377838,5,33,NA,NA,"MATCH",1,"GO:0022008","neurogenesis","BP","Generation of cells within the nervous system.","GOTerm"
"73","GO:0032467",0.00283923280508495,0.999637294105375,5,18,NA,NA,"MATCH",1,"GO:0032467","positive regulation of cytokinesis","BP","Any process that activates or increases the frequency, rate or extent of the division of the cytoplasm of a cell, and its separation into two daughter cells.","GOTerm"
"101","GO:0045732",0.00799041124657333,0.998630916977611,5,23,NA,NA,"MATCH",1,"GO:0045732","positive regulation of protein catabolic process","BP","Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds.","GOTerm"
"118","GO:0048814",0.00432310729387012,0.999382674675889,5,19,NA,NA,"MATCH",1,"GO:0048814","regulation of dendrite morphogenesis","BP","Any process that modulates the frequency, rate or extent of dendrite morphogenesis.","GOTerm"
"146","GO:0071456",0.0416717685873404,0.98858438728144,5,34,NA,NA,"MATCH",1,"GO:0071456","cellular response to hypoxia","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level.","GOTerm"
"7","GO:0001733",0.00264512359944897,0.999779171408593,4,11,"galactosylceramide sulfotransferase activity","MF","MATCH",1,"GO:0001733","galactosylceramide sulfotransferase activity","MF","Catalysis of the reaction: 3'-phosphoadenosine 5'-phosphosulfate + a galactosylceramide = adenosine 3',5'-bisphosphate + a galactosylceramidesulfate.","GOTerm"
