"input" "reason" "matches" "identifier" "name" "namespace" "description" "class"
"GO:0019915" "MATCH" "1" "GO:0019915" "lipid storage" "biological_process" "The accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development." "GOTerm"
"GO:0019918" "MATCH" "1" "GO:0019918" "peptidyl-arginine methylation, to symmetrical-dimethyl arginine" "biological_process" "The process of methylation of peptidyl-arginine to form peptidyl-N(omega),N'(omega)-dimethyl-L-arginine." "GOTerm"
"GO:0006600" "MATCH" "1" "GO:0006600" "creatine metabolic process" "biological_process" "The chemical reactions and pathways involving creatine (N-(aminoiminomethyl)-N-methylglycine), a compound synthesized from the amino acids arginine, glycine, and methionine that occurs in muscle." "GOTerm"
"GO:0019902" "MATCH" "1" "GO:0019902" "phosphatase binding" "molecular_function" "Interacting selectively and non-covalently with any phosphatase." "GOTerm"
"GO:0019901" "MATCH" "1" "GO:0019901" "protein kinase binding" "molecular_function" "Interacting selectively and non-covalently with a protein kinase, any enzyme that catalyzes the transfer of a phosphate group, usually from ATP, to a protein substrate." "GOTerm"
"GO:0019904" "MATCH" "1" "GO:0019904" "protein domain specific binding" "molecular_function" "Interacting selectively and non-covalently with a specific domain of a protein." "GOTerm"
"GO:0019903" "MATCH" "1" "GO:0019903" "protein phosphatase binding" "molecular_function" "Interacting selectively and non-covalently with any protein phosphatase." "GOTerm"
"GO:0019905" "MATCH" "1" "GO:0019905" "syntaxin binding" "molecular_function" "Interacting selectively and non-covalently with a syntaxin, a SNAP receptor involved in the docking of synaptic vesicles at the presynaptic zone of a synapse." "GOTerm"
"GO:0019908" "MATCH" "1" "GO:0019908" "nuclear cyclin-dependent protein kinase holoenzyme complex" "cellular_component" "Cyclin-dependent protein kinase (CDK) complex found in the nucleus." "GOTerm"
"GO:0019907" "MATCH" "1" "GO:0019907" "cyclin-dependent protein kinase activating kinase holoenzyme complex" "cellular_component" "A cyclin-dependent kinase activating kinase complex capable of activating cyclin-dependent kinases by threonine phosphorylation, thus regulating cell cycle progression. consists of a kinase, cyclin and optional assembly factors, in human CDK7, CCNH and MNAT1. CAK activity is itself regulated throughout the cell cycle by T-loop phosphorylation of its kinase component (CDK7 in human). Phosphorylation of serine residues during mitosis inactivates the enzyme. Also capable of CAK phosphorylating the carboxyl-terminal domain (CTD) of RNA polymerase II and other transcription activating proteins, as part of the general transcription factor TFIIH." "GOTerm"
"GO:0006611" "MATCH" "1" "GO:0006611" "protein export from nucleus" "biological_process" "The directed movement of a protein from the nucleus into the cytoplasm." "GOTerm"
"GO:0006612" "MATCH" "1" "GO:0006612" "protein targeting to membrane" "biological_process" "The process of directing proteins towards a membrane, usually using signals contained within the protein." "GOTerm"
"GO:0006610" "MATCH" "1" "GO:0006610" "ribosomal protein import into nucleus" "biological_process" "The directed movement of a ribosomal protein from the cytoplasm into the nucleus, across the nuclear membrane. At least some ribosomal proteins, including rpl12, uses the importin 11 pathway as a major route into the nucleus." "GOTerm"
"GO:0006605" "MATCH" "1" "GO:0006605" "protein targeting" "biological_process" "The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif." "GOSlimTerm"
"GO:0006606" "MATCH" "1" "GO:0006606" "protein import into nucleus" "biological_process" "The directed movement of a protein from the cytoplasm to the nucleus." "GOTerm"
"GO:0006607" "MATCH" "1" "GO:0006607" "NLS-bearing protein import into nucleus" "biological_process" "The directed movement of a protein bearing a nuclear localization signal (NLS) from the cytoplasm into the nucleus, across the nuclear envelope." "GOTerm"
"GO:0019900" "MATCH" "1" "GO:0019900" "kinase binding" "molecular_function" "Interacting selectively and non-covalently with a kinase, any enzyme that catalyzes the transfer of a phosphate group." "GOTerm"
"GO:0019957" "MATCH" "1" "GO:0019957" "C-C chemokine binding" "molecular_function" "Interacting selectively and non-covalently with a C-C chemokine; C-C chemokines do not have an amino acid between the first two cysteines of the characteristic four-cysteine motif." "GOTerm"
"GO:0019956" "MATCH" "1" "GO:0019956" "chemokine binding" "molecular_function" "Interacting selectively and non-covalently with a chemokine. Chemokines are a family of small chemotactic cytokines; their name is derived from their ability to induce directed chemotaxis in nearby responsive cells. All chemokines possess a number of conserved cysteine residues involved in intramolecular disulfide bond formation. Some chemokines are considered pro-inflammatory and can be induced during an immune response to recruit cells of the immune system to a site of infection, while others are considered homeostatic and are involved in controlling the migration of cells during normal processes of tissue maintenance or development. Chemokines are found in all vertebrates, some viruses and some bacteria." "GOTerm"
