"Sample.ID"	"scaffold"	"position"	"meth"	"unmeth"	"gene"	"treatment"	"per.meth"
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10207404	27	8	"PGEN_00000265"	"Low"	77.1428571428572
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10207413	18	21	"PGEN_00000265"	"Low"	46.1538461538462
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10207438	49	4	"PGEN_00000265"	"Low"	92.4528301886792
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10207441	44	14	"PGEN_00000265"	"Low"	75.8620689655172
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10207453	25	50	"PGEN_00000265"	"Low"	33.3333333333333
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10207458	14	48	"PGEN_00000265"	"Low"	22.5806451612903
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10207482	40	46	"PGEN_00000265"	"Low"	46.5116279069767
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10208485	5	22	"PGEN_00000265"	"Low"	18.5185185185185
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10208631	23	14	"PGEN_00000265"	"Low"	62.1621621621622
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10208637	12	19	"PGEN_00000265"	"Low"	38.7096774193548
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10209397	5	26	"PGEN_00000265"	"Low"	16.1290322580645
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10209483	7	45	"PGEN_00000265"	"Low"	13.4615384615385
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10209505	58	21	"PGEN_00000265"	"Low"	73.4177215189873
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10209545	2	50	"PGEN_00000265"	"Low"	3.84615384615385
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10210233	16	12	"PGEN_00000265"	"Low"	57.1428571428571
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10210240	20	7	"PGEN_00000265"	"Low"	74.0740740740741
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10210273	27	7	"PGEN_00000265"	"Low"	79.4117647058823
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10210313	21	22	"PGEN_00000265"	"Low"	48.8372093023256
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10210581	31	26	"PGEN_00000265"	"Low"	54.3859649122807
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10210687	3	17	"PGEN_00000265"	"Low"	15
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10216558	2	16	"PGEN_00000265"	"Low"	11.1111111111111
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218622	36	25	"PGEN_00000265"	"Low"	59.0163934426229
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218743	48	34	"PGEN_00000265"	"Low"	58.5365853658537
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218771	22	57	"PGEN_00000265"	"Low"	27.8481012658228
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218859	46	13	"PGEN_00000265"	"Low"	77.9661016949153
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218873	35	24	"PGEN_00000265"	"Low"	59.3220338983051
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218920	33	11	"PGEN_00000265"	"Low"	75
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218951	31	10	"PGEN_00000265"	"Low"	75.609756097561
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218959	22	21	"PGEN_00000265"	"Low"	51.1627906976744
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10218984	31	13	"PGEN_00000265"	"Low"	70.4545454545455
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219299	27	11	"PGEN_00000265"	"Low"	71.0526315789474
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219314	38	8	"PGEN_00000265"	"Low"	82.6086956521739
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219326	36	18	"PGEN_00000265"	"Low"	66.6666666666667
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219339	32	14	"PGEN_00000265"	"Low"	69.5652173913043
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219348	27	22	"PGEN_00000265"	"Low"	55.1020408163265
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219360	59	16	"PGEN_00000265"	"Low"	78.6666666666667
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219476	22	11	"PGEN_00000265"	"Low"	66.6666666666667
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10219528	21	3	"PGEN_00000265"	"Low"	87.5
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10220241	26	27	"PGEN_00000265"	"Low"	49.0566037735849
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10220281	7	22	"PGEN_00000265"	"Low"	24.1379310344828
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10221668	21	6	"PGEN_00000265"	"Low"	77.7777777777778
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10221680	20	19	"PGEN_00000265"	"Low"	51.2820512820513
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10221699	43	9	"PGEN_00000265"	"Low"	82.6923076923077
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10221724	42	13	"PGEN_00000265"	"Low"	76.3636363636364
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10221741	46	9	"PGEN_00000265"	"Low"	83.6363636363636
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10221767	25	17	"PGEN_00000265"	"Low"	59.5238095238095
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10221820	16	16	"PGEN_00000265"	"Low"	50
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222291	19	5	"PGEN_00000265"	"Low"	79.1666666666667
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222298	18	9	"PGEN_00000265"	"Low"	66.6666666666667
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222313	22	8	"PGEN_00000265"	"Low"	73.3333333333333
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222316	7	24	"PGEN_00000265"	"Low"	22.5806451612903
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222354	47	9	"PGEN_00000265"	"Low"	83.9285714285714
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222357	35	14	"PGEN_00000265"	"Low"	71.4285714285714
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222384	10	50	"PGEN_00000265"	"Low"	16.6666666666667
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222398	17	45	"PGEN_00000265"	"Low"	27.4193548387097
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10222865	4	17	"PGEN_00000265"	"Low"	19.047619047619
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10224619	9	9	"PGEN_00000265"	"Low"	50
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10225612	27	6	"PGEN_00000265"	"Low"	81.8181818181818
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10225628	21	15	"PGEN_00000265"	"Low"	58.3333333333333
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10225647	24	6	"PGEN_00000265"	"Low"	80
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10225658	20	10	"PGEN_00000265"	"Low"	66.6666666666667
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10225685	17	15	"PGEN_00000265"	"Low"	53.125
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226460	11	17	"PGEN_00000265"	"Low"	39.2857142857143
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226502	12	22	"PGEN_00000265"	"Low"	35.2941176470588
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226520	20	15	"PGEN_00000265"	"Low"	57.1428571428571
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226562	21	53	"PGEN_00000265"	"Low"	28.3783783783784
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226582	58	11	"PGEN_00000265"	"Low"	84.0579710144928
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226610	49	37	"PGEN_00000265"	"Low"	56.9767441860465
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226622	80	10	"PGEN_00000265"	"Low"	88.8888888888889
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226628	56	25	"PGEN_00000265"	"Low"	69.1358024691358
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226643	73	8	"PGEN_00000265"	"Low"	90.1234567901235
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226648	79	6	"PGEN_00000265"	"Low"	92.9411764705882
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226670	33	31	"PGEN_00000265"	"Low"	51.5625
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10226776	28	16	"PGEN_00000265"	"Low"	63.6363636363636
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10227153	8	15	"PGEN_00000265"	"Low"	34.7826086956522
"EPI_103"	"PGA_scaffold17__51_contigs__length_34923512"	10231855	13	4	"PGEN_00000265"	"Low"	76.4705882352941
