ID,scaffold,start,end,df_Initial.Treatment,df_Secondary.Treatment,df_Initial.Treatment.Secondary.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Secondary.Treatment,sumsq_Initial.Treatment.Secondary.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Secondary.Treatment,meansq_Initial.Treatment.Secondary.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Secondary.Treatment,statistic_Initial.Treatment.Secondary.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Secondary.Treatment,p.value_Initial.Treatment.Secondary.Treatment,p.value_Residuals
Scaffold_15:18341406-18341617,Scaffold_15,18341406,18341617,2,1,2,18,0.0197750265944272,0.0145682171306615,0.0419513043068652,0.0390135376885461,0.00988751329721362,0.0145682171306615,0.0209756521534326,0.00216741876047478,4.56188415341007,6.72145936739527,9.67771089553445,NA,0.0249633181900582,0.0183838988585015,0.00140045689223066,NA
Scaffold_15:5533043-5533095,Scaffold_15,5533043,5533095,2,1,2,18,0.0190145567207404,0.0313089179949566,0.101055079931436,0.0986516559669387,0.0095072783603702,0.0313089179949566,0.0505275399657181,0.00548064755371882,1.73469982646835,5.71263116047526,9.21926459792755,NA,0.204679073177997,0.0279888606958633,0.00175147925075926,NA
Scaffold_17:31630703-31630882,Scaffold_17,31630703,31630882,2,1,2,18,0.0129539547485948,0.0650565086303863,0.746176672924644,0.800210032845903,0.00647697737429739,0.0650565086303863,0.373088336462322,0.0444561129358835,0.145693740333051,1.46338724494905,8.3922842512211,NA,0.865431497588439,0.242040473653998,0.00266055941926755,NA
Scaffold_04:12562372-12563194,Scaffold_04,12562372,12563194,2,1,2,17,0.0605912324311929,0.119535003576056,1.37664835445968,1.57341881586112,0.0302956162155964,0.119535003576056,0.68832417722984,0.0925540479918309,0.327328916162267,1.29151567294611,7.43699699974867,NA,0.725290084916654,0.271535749453,0.00478195732509631,NA
Scaffold_04:13169503-13169693,Scaffold_04,13169503,13169693,2,1,2,15,0.350093584256256,0.0862257967926194,1.39861378029945,1.39455523860083,0.175046792128128,0.0862257967926194,0.699306890149724,0.0929703492400551,1.88282386329588,0.927454801422538,7.52182707568486,NA,0.186405081618999,0.350794674876401,0.00546435351765247,NA
Scaffold_01:47239858-47240005,Scaffold_01,47239858,47240005,2,1,2,16,0.0186263305238886,0.00206527333908314,0.732575702640977,0.812187516850961,0.00931316526194428,0.00206527333908314,0.366287851320489,0.0507617198031851,0.183468276844315,0.040685645543348,7.21582824105786,NA,0.834104895635009,0.842688091592158,0.00583922376405625,NA
Scaffold_01:26543165-26543359,Scaffold_01,26543165,26543359,2,1,2,18,0.142752650429579,0.00277719727218289,0.123811096202568,0.165559326307828,0.0713763252147897,0.00277719727218289,0.0619055481012838,0.00919774035043489,7.76020223395574,0.301943430274326,6.73051703382307,NA,0.00371252419764449,0.589419794867145,0.00656894474692753,NA
Scaffold_02:64410497-64410614,Scaffold_02,64410497,64410614,2,1,2,16,0.0666428698891046,0.00883025363974013,0.49641561947144,0.628336943859806,0.0333214349445523,0.00883025363974013,0.24820780973572,0.0392710589912378,0.848498507564743,0.224853973041836,6.32037475208142,NA,0.44644014461235,0.641772680335303,0.00948603734399032,NA
Scaffold_04:49794463-49794496,Scaffold_04,49794463,49794496,2,1,2,18,0.0403545735058444,1.85224004264613e-05,0.483007611009404,0.750114693517416,0.0201772867529222,1.85224004264613e-05,0.241503805504702,0.0416730385287453,0.484180838865499,0.000444469639853231,5.79520510216977,NA,0.623999366258686,0.983411833802978,0.0114049575851549,NA
Scaffold_04:10439183-10439504,Scaffold_04,10439183,10439504,2,1,2,18,0.0119427834246407,0.00717919528479851,0.104133199270763,0.166936284579461,0.00597139171232036,0.00717919528479851,0.0520665996353816,0.00927423803219226,0.643868713698394,0.774100822070606,5.61411077165053,NA,0.536934091496212,0.390546913866399,0.0127418072503179,NA
Scaffold_08:49680654-49680667,Scaffold_08,49680654,49680667,2,1,2,15,0.0258014774130939,0.018437562727022,0.279810951562016,0.379336287222626,0.0129007387065469,0.018437562727022,0.139905475781008,0.0252890858148417,0.510130686455092,0.72907193490566,5.53224726292398,NA,0.610467379902851,0.406614010640647,0.0158604184246386,NA
Scaffold_10:31349891-31350026,Scaffold_10,31349891,31350026,2,1,2,18,0.000319860610817256,0.0259959070324669,0.188394875527888,0.322670653677646,0.000159930305408628,0.0259959070324669,0.094197437763944,0.0179261474265359,0.00892162167381738,1.4501669775395,5.25475081302214,NA,0.991122437705916,0.244097989543586,0.015942114227116,NA
Scaffold_15:7012100-7012255,Scaffold_15,7012100,7012255,2,1,2,18,0.00521968726029616,0.00356096815127768,0.0209024545819327,0.0365344323510991,0.00260984363014808,0.00356096815127768,0.0104512272909663,0.00202969068617217,1.28583318036012,1.75443882929441,5.14917241438225,NA,0.300626524860317,0.201891822298257,0.0170452445558049,NA
Scaffold_04:716945-717049,Scaffold_04,716945,717049,2,1,2,17,0.0059908975606649,0.00412303280342587,0.302395071418025,0.501411500912814,0.00299544878033245,0.00412303280342587,0.151197535709013,0.029494794171342,0.10155855853515,0.139788492147944,5.12624481563328,NA,0.903972233532468,0.713113479115445,0.0181076993680618,NA
Scaffold_10:27605391-27605550,Scaffold_10,27605391,27605550,2,1,2,18,0.0127190119959845,0.00282314418579743,0.0765935762792827,0.137858760418032,0.00635950599799226,0.00282314418579743,0.0382967881396414,0.00765882002322399,0.830350625645753,0.368613464898869,5.00035097097376,NA,0.451919945704554,0.551343583755942,0.0187470215119397,NA
Scaffold_12:22861955-22862339,Scaffold_12,22861955,22862339,2,1,2,18,0.0321958565553383,0.00164914201358114,0.327182323619332,0.62410201639854,0.0160979282776691,0.00164914201358114,0.163591161809666,0.0346723342443633,0.464287410366268,0.0475636281641246,4.71820445248104,NA,0.635903625631785,0.829811687820279,0.0225168245757735,NA
Scaffold_15:14494198-14494313,Scaffold_15,14494198,14494313,2,1,2,18,0.00275508336365578,0.0275587189437489,0.0315797546006053,0.0605510514444885,0.00137754168182789,0.0275587189437489,0.0157898773003027,0.00336394730247158,0.409501564074971,8.19237534532743,4.69385394019146,NA,0.670012670899599,0.0103554456247667,0.0228797546466907,NA
Scaffold_15:42352437-42352523,Scaffold_15,42352437,42352523,2,1,2,16,0.0786612643795025,0.00104327255461436,0.445573199614401,0.766766403685674,0.0393306321897512,0.00104327255461436,0.2227865998072,0.0479229002303546,0.820706426378573,0.0217698125447247,4.64885469652953,NA,0.457818093007992,0.884544407048547,0.0256041443335658,NA
Scaffold_17:3639155-3639327,Scaffold_17,3639155,3639327,2,1,2,16,0.252994288949695,0.127864074091807,0.616739186334049,1.06667578925521,0.126497144474847,0.127864074091807,0.308369593167024,0.0666672368284508,1.89744093939804,1.91794470829546,4.62550433821827,NA,0.182195037950081,0.185091632549493,0.0259854362502083,NA
Scaffold_05:61611387-61611530,Scaffold_05,61611387,61611530,2,1,2,18,0.252181039618686,0.0517590201063947,0.381289740883495,0.765102207927025,0.126090519809343,0.0517590201063947,0.190644870441747,0.0425056782181681,2.96643942868434,1.21769660610359,4.48516241673002,NA,0.0770013010461042,0.28434785074045,0.0262710209869889,NA
Scaffold_08:60437068-60437220,Scaffold_08,60437068,60437220,2,1,2,17,0.0834594123115095,0.115401335741274,0.535643669262563,1.01006764132084,0.0417297061557547,0.115401335741274,0.267821834631282,0.0594157436071082,0.702334156275079,1.94226864354968,4.50759038550922,NA,0.509246290241681,0.18137566041929,0.0268774228304156,NA
Scaffold_07:38784305-38784423,Scaffold_07,38784305,38784423,2,1,2,17,0.119560064940126,6.87350300376425e-05,0.523110006655928,1.03490667586773,0.0597800324700629,6.87350300376425e-05,0.261555003327964,0.0608768632863372,0.981982796795635,0.00112908297712949,4.29645992267584,NA,0.394837126619967,0.973586043923007,0.0308885286406697,NA
Scaffold_04:43945842-43945896,Scaffold_04,43945842,43945896,2,1,2,15,0.0110575196382602,0.130787320130765,1.68478560606488,2.91827451975857,0.00552875981913009,0.130787320130765,0.842392803032442,0.194551634650571,0.0284179561331373,0.672249916407377,4.3299189161039,NA,0.972034235859344,0.425105647094377,0.0327790389262755,NA
Scaffold_12:15551317-15551387,Scaffold_12,15551317,15551387,2,1,2,15,0.247735708694175,0.0163717089436033,0.402551095588419,0.697617287712007,0.123867854347088,0.0163717089436033,0.20127554779421,0.0465078191808005,2.66337696604409,0.352020568411472,4.32777866903939,NA,0.102370357381861,0.561811837781002,0.03282355056818,NA
Scaffold_07:33916238-33916519,Scaffold_07,33916238,33916519,2,1,2,18,0.0781277388755674,0.000908021736153376,0.2784096064669,0.620838728232486,0.0390638694377837,0.000908021736153376,0.13920480323345,0.0344910404573604,1.1325801982134,0.0263263074732674,4.03596996169317,NA,0.344113837320033,0.872913495727705,0.0356362851503441,NA
Scaffold_17:18344493-18344669,Scaffold_17,18344493,18344669,2,1,2,17,0.277175179005021,0.163874932614233,1.00594560913557,2.1226982047106,0.138587589502511,0.163874932614233,0.502972804567783,0.124864600277094,1.10990296044646,1.31242107251029,4.02814571505139,NA,0.352329777467157,0.267828481265274,0.036984785333984,NA
Scaffold_03:49823789-49824034,Scaffold_03,49823789,49824034,2,1,2,17,0.0228853286485315,0.000419499701487189,0.108414666987641,0.238898812967248,0.0114426643242657,0.000419499701487189,0.0542073334938203,0.0140528713510146,0.814258099889286,0.0298515293429269,3.85738488169584,NA,0.459515948712808,0.864867900428532,0.0415609049074302,NA
Scaffold_01:51854871-51854949,Scaffold_01,51854871,51854949,2,1,2,18,0.0525806021645678,0.0418652437395094,0.322559617006578,0.766316000502818,0.0262903010822839,0.0418652437395094,0.161279808503289,0.0425731111390455,0.617533000969056,0.983372899452329,3.78830215101129,NA,0.550312551431537,0.334511808296083,0.042351284340623,NA
Scaffold_09:34967039-34967104,Scaffold_09,34967039,34967104,2,1,2,17,0.0553387755132337,0.0392808460743291,0.214555129234455,0.476929358747355,0.0276693877566168,0.0392808460743291,0.107277564617228,0.0280546681616091,0.98626679870983,1.40015365172211,3.82387572717861,NA,0.393324067671676,0.252981672081895,0.042531307221016,NA
Scaffold_12:22859483-22859683,Scaffold_12,22859483,22859683,2,1,2,18,0.00615490666235179,0.112864074921277,0.151491796157031,0.362522600160649,0.0030774533311759,0.112864074921277,0.0757458980785153,0.0201401444533694,0.152801949276041,5.60393572064946,3.76094115183187,NA,0.859401285914214,0.0293287121568469,0.0431755851279916,NA
Scaffold_10:4078253-4078293,Scaffold_10,4078253,4078293,2,1,2,16,0.0121960260497011,0.00596965827329084,0.283912488771817,0.595049435187635,0.00609801302485055,0.00596965827329084,0.141956244385908,0.0371905896992272,0.163966559126038,0.160515289528063,3.81699364097091,NA,0.850178580407307,0.693981589790123,0.0441228829737731,NA
Scaffold_08:50652597-50652645,Scaffold_08,50652597,50652645,2,1,2,17,0.207400037645664,0.0064239492206866,0.122688382434303,0.276675212873825,0.103700018822832,0.0064239492206866,0.0613441912171515,0.0162750125219897,6.37173204522698,0.394712398040062,3.76922543895234,NA,0.00860969323958448,0.538182443673265,0.0441687515688323,NA
Scaffold_01:8257927-8257972,Scaffold_01,8257927,8257972,2,1,2,17,0.155293024371531,0.0134207410600554,0.286369467981313,0.647218562019321,0.0776465121857655,0.0134207410600554,0.143184733990656,0.0380716801187836,2.03948215428131,0.352512445423546,3.76092501155505,NA,0.160730038805297,0.560512261186947,0.0444235601339482,NA
Scaffold_13:29653605-29653698,Scaffold_13,29653605,29653698,2,1,2,15,0.306009621010099,0.00756207128152667,1.12820270993816,2.20851403720756,0.15300481050505,0.00756207128152667,0.564101354969082,0.147234269147171,1.03919292289291,0.0513608097172532,3.83131833530702,NA,0.377862056608861,0.823771515588839,0.045274761528131,NA
Scaffold_08:17534473-17534497,Scaffold_08,17534473,17534497,2,1,2,18,0.0739501420391506,0.0012975506853867,0.108737026608814,0.267942996479136,0.0369750710195753,0.0012975506853867,0.0543685133044071,0.0148857220266187,2.48392862324423,0.0871674671249683,3.65239342822506,NA,0.111523970822454,0.771187997257902,0.04662602516648,NA
Scaffold_12:19719704-19719808,Scaffold_12,19719704,19719808,2,1,2,18,0.00570817821187625,0.00604770998548015,0.0229124497664345,0.0565635367721048,0.00285408910593812,0.00604770998548015,0.0114562248832173,0.00314241870956138,0.908245962657376,1.92453983521639,3.64567103943203,NA,0.420931642552189,0.182295531186759,0.0468495759982663,NA
Scaffold_04:7835643-7836015,Scaffold_04,7835643,7836015,2,1,2,18,0.00484039632158509,0.013256181404148,0.234237576505961,0.581459931270097,0.00242019816079255,0.013256181404148,0.11711878825298,0.0323033295150054,0.0749210126983452,0.410365792107911,3.62559494675548,NA,0.928104550395874,0.529855474546734,0.0475243203837851,NA
Scaffold_11:20286469-20286591,Scaffold_11,20286469,20286591,2,1,2,16,0.236812189638061,0.00456536988500257,0.68460756035859,1.49131599485998,0.11840609481903,0.00456536988500257,0.342303780179295,0.0932072496787487,1.270352845161,0.0489808453820676,3.67250167083666,NA,0.307574113156203,0.827646035467254,0.0486864756619165,NA
