"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"2","GO:0003682",0.0167410761900623,0.990323806459803,29,222,"chromatin binding","MF"
"5","GO:0004672",0.0430266382259643,0.977470482992086,16,116,"protein kinase activity","MF"
"7","GO:0019904",0.00512280891440636,0.998014724023795,15,83,"protein domain specific binding","MF"
"8","GO:0008022",0.0119193526459235,0.995244055544688,13,75,"protein C-terminus binding","MF"
"17","GO:0034185",0.0204662143556593,0.995686112580653,5,19,"apolipoprotein binding","MF"
"18","GO:0001085",0.0205449445561675,0.99669592227429,4,13,"RNA polymerase II transcription factor binding","MF"
"20","GO:0001733",0.0221297921846163,0.996357926253282,4,13,"galactosylceramide sulfotransferase activity","MF"
"21","GO:0005154",0.00822263974927192,0.999081566759936,4,10,"epidermal growth factor receptor binding","MF"
"26","GO:0033613",0.0205845510442535,0.996687576289772,4,13,"activating transcription factor binding","MF"
"29","GO:0050694",0.00806637643107856,0.999104138030217,4,10,"galactose 3-O-sulfotransferase activity","MF"
"32","GO:0070064",0.00830650729718054,0.999069397719504,4,10,"proline-rich region binding","MF"
"40","GO:0004029",0.0109718517151718,0.999237393907847,3,6,"aldehyde dehydrogenase (NAD) activity","MF"
"41","GO:0005313",0.00579472695951233,0.999731371189894,3,5,"L-glutamate transmembrane transporter activity","MF"
"48","GO:0008474",0.0364332845005176,0.995084979459867,3,9,"palmitoyl-(protein) hydrolase activity","MF"
"53","GO:0030020",0.0174782072595425,0.998405366640709,3,7,"extracellular matrix structural constituent conferring tensile strength","MF"
"62","GO:0043878",0.0180804286388624,0.998328691825639,3,7,"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity","MF"
"78","GO:0003918",0.00763295757140057,1,2,2,"DNA topoisomerase type II (ATP-hydrolyzing) activity","MF"
"79","GO:0004095",0.0393220357626413,0.997634515949151,2,4,"carnitine O-palmitoyltransferase activity","MF"
"80","GO:0004758",0.0425996436604768,0.997319622450421,2,4,"serine C-palmitoyltransferase activity","MF"
"81","GO:0005092",0.0208456193880266,0.999367917570183,2,3,"GDP-dissociation inhibitor activity","MF"
"82","GO:0005227",0.0207522889586553,0.99937229002797,2,3,"calcium activated cation channel activity","MF"
"89","GO:0008273",0.0214374383368656,0.999339934685711,2,3,"calcium, potassium:sodium antiporter activity","MF"
"90","GO:0008934",0.0210226268944426,0.999359594547844,2,3,"inositol monophosphate 1-phosphatase activity","MF"
"94","GO:0015501",0.0391993400685397,0.997646016616444,2,4,"glutamate:sodium symporter activity","MF"
"95","GO:0016936",0.0391470045850851,0.997650915825522,2,4,"galactoside binding","MF"
"99","GO:0030548",0.0404756957519518,0.997525360067551,2,4,"acetylcholine receptor regulator activity","MF"
"104","GO:0035174",0.0207045135420195,0.99937452398393,2,3,"histone serine kinase activity","MF"
"105","GO:0035258",0.0207045135420195,0.99937452398393,2,3,"steroid hormone receptor binding","MF"
"108","GO:0035615",0.0432133096141387,0.99725903846739,2,4,"clathrin adaptor activity","MF"
"112","GO:0043426",0.0210884999649871,0.999356487017529,2,3,"MRF binding","MF"
"117","GO:0047134",0.0208031871936019,0.99936990685736,2,3,"protein-disulfide reductase activity","MF"
"118","GO:0047322",0.0207045135420195,0.99937452398393,2,3,"[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","MF"
"120","GO:0048029",0.0207721647788513,0.999371359788931,2,3,"monosaccharide binding","MF"
"122","GO:0050405",0.0207045135420195,0.99937452398393,2,3,"[acetyl-CoA carboxylase] kinase activity","MF"
"125","GO:0052832",0.0210226268944426,0.999359594547844,2,3,"inositol monophosphate 3-phosphatase activity","MF"
"126","GO:0052833",0.0210226268944426,0.999359594547844,2,3,"inositol monophosphate 4-phosphatase activity","MF"
