ID,scaffold,start,end,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
Scaffold_14:39013123-39013316,Scaffold_14,39013123,39013316,0.769126110790621,0.711407638488276,0.12178451299132,13.3254758851158,0.000397697946178484,4,13.2864733752085,-16.5729467504171,-12.7100031392182,0.177977611254397,12
Scaffold_09:21159874-21159960,Scaffold_09,21159874,21159960,0.78146370960388,0.721862903132211,0.214500313411655,13.1116297893611,0.000593584718127894,4,4.13374515653672,1.73250968692656,5.27276069243761,0.506114228990682,11
Scaffold_08:49680654-49680730,Scaffold_08,49680654,49680730,0.774023463933631,0.712393499551894,0.0545946053625752,12.5592067381269,0.000710824080785046,4,24.6593870241463,-39.3187740482927,-35.7785230427816,0.0327862802816486,11
Scaffold_06:3685281-3685367,Scaffold_06,3685281,3685367,0.694838505364361,0.618548131705451,0.0984460992794867,9.1078136341414,0.00203447129337304,4,16.6903775846241,-23.3807551692481,-19.5178115580492,0.116299613560159,12
Scaffold_04:10742822-10742936,Scaffold_04,10742822,10742936,0.694664648049771,0.618330810062214,0.181180376024713,9.10035007231007,0.00204122872429268,4,6.93063510949951,-3.86127021899902,0.00167339219988527,0.393915943877476,12
Scaffold_11:35379410-35379483,Scaffold_11,35379410,35379483,0.752904110339505,0.678775343441357,0.139956569149704,10.1567062537811,0.00222153421939041,4,10.0200899395283,-10.0401798790567,-6.84489323098039,0.19587841248156,10
Scaffold_01:88434573-88434644,Scaffold_01,88434573,88434644,0.680203197728371,0.600253997160463,0.0417320091551342,8.50794245466681,0.00267164488773141,4,30.4222294722947,-50.8444589445895,-46.9815153333906,0.0208987270574905,12
Scaffold_13:9210492-9210685,Scaffold_13,9210492,9210685,0.678341825894938,0.597927282368672,0.0583013706519663,8.43556148115636,0.00276325710956172,4,25.0725148575672,-40.1450297151344,-36.2820861039355,0.0407885978387754,12
Scaffold_17:23925657-23925741,Scaffold_17,23925657,23925741,0.739156141889332,0.652208189185776,0.150096675330524,8.50113336664111,0.00542289499699421,4,8.5981941128554,-7.1963882257108,-4.37164143840312,0.202761107507491,9
Scaffold_06:41617861-41618282,Scaffold_06,41617861,41618282,0.638420917117852,0.548026146397315,0.155176694071264,7.06258682918268,0.00544130932797501,4,9.40949364155256,-8.81898728310512,-4.95604367190621,0.288957676594641,12
Scaffold_05:15695759-15695979,Scaffold_05,15695759,15695979,0.629487549064794,0.536859436330993,0.0821103247413715,6.79585851947392,0.00626414148916455,4,19.5935042453645,-29.1870084907289,-25.32406487953,0.0809052651496017,12
Scaffold_15:5119563-5119946,Scaffold_15,5119563,5119946,0.628374851923917,0.535468564904897,0.13786107263946,6.76353422449516,0.00637337606437628,4,11.3025811829281,-12.6051623658561,-8.74221875465721,0.228068104191629,12
Scaffold_06:43604075-43604115,Scaffold_06,43604075,43604115,0.652464796525775,0.557682468305532,0.231512331056843,6.88382326935101,0.00708308447191476,4,2.98891607876074,4.02216784247853,7.56241884798958,0.589577553745108,11
Scaffold_12:19797108-19798095,Scaffold_12,19797108,19798095,0.616965355434344,0.521206694292931,0.259851314908814,6.44291960727423,0.00758589173196305,4,1.16077088481172,7.67845823037655,11.5414018415755,0.810272470318077,12
Scaffold_10:48558078-48558128,Scaffold_10,48558078,48558128,0.67771585313363,0.581030609073719,0.243120612154976,7.0095065666244,0.0080458492962102,4,2.28893276597773,5.42213446804453,8.61742111612082,0.591076320546101,10
Scaffold_13:33055342-33055425,Scaffold_13,33055342,33055425,0.60362077464085,0.504525968301063,0.029683410463231,6.0913462262703,0.00923605064315683,4,35.8731114002363,-61.7462228004726,-57.8832791892737,0.0105732582807438,12
Scaffold_04:45804183-45804272,Scaffold_04,45804183,45804272,0.703003765836622,0.604005021115496,0.361424469706886,7.10113817924607,0.00953941924650742,4,-2.82586132562058,15.6517226512412,18.4764694385488,1.17564882572614,9
Scaffold_01:3532891-3533128,Scaffold_01,3532891,3533128,0.63128035078268,0.530720446450683,0.11349474354025,6.27765464750762,0.00968129301965243,4,13.6820652975162,-17.3641305950324,-13.8238795895214,0.141691624923939,11
Scaffold_08:17878379-17878426,Scaffold_08,17878379,17878426,0.630988120897294,0.530348517505647,0.16495616852079,6.26977948672704,0.0097218087808853,4,8.07321624970976,-6.14643249941953,-2.60618149390848,0.299315912863653,11
Scaffold_11:26583602-26583612,Scaffold_11,26583602,26583612,0.599275453276896,0.49909431659612,0.0873443457206045,5.98191908309513,0.00983238194982318,4,18.6047916611576,-27.2095833223152,-23.3466397111163,0.0915484167523257,12
Scaffold_10:19420335-19420450,Scaffold_10,19420335,19420450,0.628759286631235,0.527511819348844,0.140752806098593,6.21012360612986,0.0100352950932961,4,10.4533350952649,-10.9066701905298,-7.36641918501878,0.217924876670911,11
Scaffold_15:42535095-42535295,Scaffold_15,42535095,42535295,0.592459126189055,0.490573907736319,0.191588341478242,5.8149664415147,0.0108306260177113,4,6.03694026484112,-2.07388052968223,1.78906308151667,0.440473111084601,12
Scaffold_13:33055437-33055482,Scaffold_13,33055437,33055482,0.583090880903348,0.478863601129184,0.0353091789440697,5.59441714459759,0.0123354822812702,4,33.0962372019362,-56.1924744038724,-52.3295307926735,0.014960857412452,12
