"gene"	"pval.treatment"	"pval.position"	"pval.treatment_x_position"	"adj.pval.treatment"	"adj.pval.position"	"adj.pval.treatment_x_position"
"PGEN_00000114"	1.39917913839075e-24	2.15417923276855e-81	0.118344574807004	7.55556734731003e-23	6.84268697467658e-81	0.259829766444954
"PGEN_00001153"	4.94564827465074e-16	1.0641841915676e-08	0.0174582499877052	1.3353250341557e-14	2.49851940628914e-08	0.047137274966804
"PGEN_00001391"	3.99046525906215e-15	0.160446109893823	0.918321475884089	7.18283746631187e-14	0.206287855577772	0.965646990223117
"PGEN_00001361"	0.000122623568015836	6.89539161185547e-13	0.112606030597264	0.00165541816821379	1.69250521381907e-12	0.259829766444954
"PGEN_00001648"	0.000368863654266222	0.000130646412030904	0.714036500689847	0.00398372746607519	0.000243272629298925	0.803291063276078
"PGEN_00000039"	0.00194126216914021	5.83883618040188e-163	0.00101296233245979	0.0149754510190816	2.25212252672644e-162	0.00420768968867913
"PGEN_00000682"	0.00178615090287342	1.21440001662425e-41	0.0288050186359505	0.0149754510190816	3.64320004987273e-41	0.0707032275609693
"PGEN_00000055"	0.00267448055181076	0.563558087841549	0.2711347230298	0.0180527437247226	0.608699393327174	0.450072793785439
"PGEN_00001235"	0.00495885142734015	0.670495711563083	0.537421002055953	0.0267777977076368	0.696284008161663	0.718024134443733
"PGEN_00001659"	0.00489664843498246	0.0213505119993641	0.999999998634553	0.0267777977076368	0.0320257679990461	0.999999998634553
"PGEN_00000568"	0.00722644570461187	0	0	0.0354752789135492	0	0
