"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"61","GO:0016607",0.0214479425226088,0.988794068919097,20,142,NA,NA,"MATCH",1,"GO:0016607","nuclear speck","CC","A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy.","GOTerm"
"52","GO:0010629",0.021068067386267,0.989450817119432,18,124,NA,NA,"MATCH",1,"GO:0010629","negative regulation of gene expression","BP","Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.","GOTerm"
"23","GO:0004672",0.0150233177097497,0.993339227154393,15,94,NA,NA,"MATCH",1,"GO:0004672","protein kinase activity","MF","Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.","GOTerm"
"58","GO:0016055",0.0149420097271667,0.99338396774097,15,93,NA,NA,"MATCH",1,"GO:0016055","Wnt signaling pathway","BP","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state.","GOTerm"
"65","GO:0019904",0.0198494468939027,0.991167826509569,14,88,NA,NA,"MATCH",1,"GO:0019904","protein domain specific binding","MF","Interacting selectively and non-covalently with a specific domain of a protein.","GOTerm"
"116","GO:0051607",0.0163427039912089,0.993181094686721,13,78,NA,NA,"MATCH",1,"GO:0051607","defense response to virus","BP","Reactions triggered in response to the presence of a virus that act to protect the cell or organism.","GOTerm"
"45","GO:0008022",0.0245906300309908,0.989536882119655,12,74,NA,NA,"MATCH",1,"GO:0008022","protein C-terminus binding","MF","Interacting selectively and non-covalently with a protein C-terminus, the end of any peptide chain at which the 1-carboxyl function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue.","GOTerm"
"108","GO:0048511",0.0202184238369396,0.993526518808642,8,40,NA,NA,"MATCH",1,"GO:0048511","rhythmic process","BP","Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism.","GOTerm"
"19","GO:0003690",0.0252830364569455,0.992312591195017,7,34,NA,NA,"MATCH",1,"GO:0003690","double-stranded DNA binding","MF","Interacting selectively and non-covalently with double-stranded DNA.","GOTerm"
"94","GO:0042752",0.0315697050786824,0.989876894014244,7,36,NA,NA,"MATCH",1,"GO:0042752","regulation of circadian rhythm","BP","Any process that modulates the frequency, rate or extent of a circadian rhythm. A circadian rhythm is a biological process in an organism that recurs with a regularity of approximately 24 hours.","GOTerm"
"33","GO:0005643",0.0417052477723361,0.987244253745752,6,30,NA,NA,"MATCH",1,"GO:0005643","nuclear pore","CC","Any of the numerous similar discrete openings in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined.","GOTerm"
"64","GO:0019005",0.0358074897318076,0.989485489576714,6,29,NA,NA,"MATCH",1,"GO:0019005","SCF ubiquitin ligase complex","CC","A ubiquitin ligase complex in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1).","GOTerm"
