"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"61","GO:0016607",0.0214479425226088,0.988794068919097,20,142,NA,NA,"MATCH",1,"GO:0016607","nuclear speck","CC","A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy.","GOTerm"
"33","GO:0005643",0.0417052477723361,0.987244253745752,6,30,NA,NA,"MATCH",1,"GO:0005643","nuclear pore","CC","Any of the numerous similar discrete openings in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined.","GOTerm"
"64","GO:0019005",0.0358074897318076,0.989485489576714,6,29,NA,NA,"MATCH",1,"GO:0019005","SCF ubiquitin ligase complex","CC","A ubiquitin ligase complex in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1).","GOTerm"
"6","GO:0000781",0.0239449851024825,0.994691109670768,5,20,NA,NA,"MATCH",1,"GO:0000781","chromosome, telomeric region","CC","The terminal region of a linear chromosome that includes the telomeric DNA repeats and associated proteins.","GOTerm"
"143","GO:0097431",0.0158771331374167,0.997693282317953,4,12,NA,NA,"MATCH",1,"GO:0097431","mitotic spindle pole","CC","Either of the ends of a mitotic spindle, a spindle that forms as part of mitosis, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules.","GOTerm"
"1","GO:0000151",0.0252351794046626,0.997178167658696,3,8,NA,NA,"MATCH",1,"GO:0000151","ubiquitin ligase complex","CC","A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex.","GOTerm"
"34","GO:0005685",0.0484588833224576,0.992434145597312,3,10,NA,NA,"MATCH",1,"GO:0005685","U1 snRNP","CC","A ribonucleoprotein complex that contains small nuclear RNA U1.","GOTerm"
"75","GO:0031904",0.0476216562484444,0.992617495330331,3,10,NA,NA,"MATCH",1,"GO:0031904","endosome lumen","CC","The volume enclosed by the membrane of an endosome.","GOTerm"
"133","GO:0071004",0.047648597753028,0.992611616763758,3,10,NA,NA,"MATCH",1,"GO:0071004","U2-type prespliceosome","CC","A spliceosomal complex that is formed by association of the 5' splice site with the U1 snRNP, while the branch point sequence is recognized by the U2 snRNP. The prespliceosome includes many proteins in addition to those found in the U1 and U2 snRNPs. Commitment to a given pair of 5' and 3' splice sites occurs at the time of prespliceosome formation.","GOTerm"
"35","GO:0005947",0.02082921735587,0.999368686794023,2,3,NA,NA,"MATCH",1,"GO:0005947","mitochondrial alpha-ketoglutarate dehydrogenase complex","CC","Mitochondrial complex that possesses alpha-ketoglutarate dehydrogenase activity.","GOTerm"
"69","GO:0030117",0.0440117100317415,0.997179457883679,2,4,NA,NA,"MATCH",1,"GO:0030117","membrane coat","CC","Any of several different proteinaceous coats that can associate with membranes. Membrane coats include those formed by clathrin plus an adaptor complex, the COPI and COPII complexes, and possibly others. They are found associated with membranes on many vesicles as well as other membrane features such as pits and perhaps tubules.","GOTerm"
"72","GO:0031313",0.0399447219671599,0.997575827690459,2,4,NA,NA,"MATCH",1,"GO:0031313","extrinsic component of endosome membrane","CC","The component of an endosome membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region.","GOTerm"
"81","GO:0033263",0.0221652247733329,0.999304919976349,2,3,NA,NA,"MATCH",1,"GO:0033263","CORVET complex","CC","A multimeric protein complex that acts as an endosomal tethering complex (CORVET = class C core vacuole/endosome tethering) by cooperating with Rab GTPases to capture endosomal vesicles and trap them prior to the action of SNAREs; the complex is involved in endo-lysosomal biogenesis and required for transport between endosome and vacuole. The Saccharomyces cerevisiae complex contains Vps8p, Vps3p, Pep5p, Vps16p, Pep3p, and Vps33p.","GOTerm"
"152","GO:1990718",0.007568437439035,1,2,2,NA,NA,"MATCH",1,"GO:1990718","axonemal central pair projection","CC","Part of the 9+2 axoneme, that occurs in most motile cilia, consisting of the projections off of the central pair of single microtubules.","GOTerm"
