ID,scaffold,start,end,df_Initial.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Residuals
Scaffold_03:4273751-4274584,Scaffold_03,4273751,4274584,2,9,1.82248402133196,0.572073269626474,0.911242010665978,0.0635636966251637,14.3358876064051,NA,0.00159227803957043,NA
Scaffold_03:4272535-4272822,Scaffold_03,4272535,4272822,2,9,1.72908346459733,0.715851838155235,0.864541732298663,0.0795390931283595,10.8693938828731,NA,0.00397649992614345,NA
Scaffold_03:39907034-39907086,Scaffold_03,39907034,39907086,2,7,1.59507181146719,0.489515615177976,0.797535905733595,0.0699308021682822,11.4046440338893,NA,0.0062749826050457,NA
Scaffold_03:14698349-14698539,Scaffold_03,14698349,14698539,2,9,1.57339897255687,0.79919310583735,0.786699486278436,0.0887992339819278,8.85930487236571,NA,0.0074718636406358,NA
Scaffold_14:35869946-35871647,Scaffold_14,35869946,35871647,2,9,0.830691440755095,0.423693594186088,0.415345720377548,0.0470770660206765,8.8226764215749,NA,0.00756475125615508,NA
Scaffold_15:11947178-11947224,Scaffold_15,11947178,11947224,2,9,0.857922415780166,0.443989563134005,0.428961207890083,0.0493321736815561,8.69536401657605,NA,0.00789878190074067,NA
Scaffold_08:4252222-4252303,Scaffold_08,4252222,4252303,2,7,1.31703977109697,0.455313855300808,0.658519885548487,0.065044836471544,10.1240916461767,NA,0.00859333431577232,NA
Scaffold_05:13866354-13866656,Scaffold_05,13866354,13866656,2,9,0.149918601371587,0.0805286922709706,0.0749593006857936,0.00894763247455229,8.37755695699205,NA,0.00881466181175675,NA
Scaffold_03:1735906-1736047,Scaffold_03,1735906,1736047,2,9,0.715781684483928,0.385613844435145,0.357890842241964,0.0428459827150161,8.35296145784364,NA,0.00889082144724916,NA
Scaffold_09:32979298-32979474,Scaffold_09,32979298,32979474,2,9,0.0436415924185263,0.0235852952205152,0.0218207962092632,0.00262058835783502,8.32667829879633,NA,0.00897309778972567,NA
