"gene"	"pval.treatment1"	"pval.treatment2"	"position"	"pval.treatment1_x_treatment2"	"pval.treatment1_x_position"	"pval.treatment2_x_position"	"pval.treatment1_x_pval.treatment2_x_position"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"adj.pval.treatment1_x_position"	"adj.pval.treatment2_x_position"	"adj.pval.treatment1_x_pval.treatment2_x_position"
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1"	1.56076078158571e-06	2.02733433172986e-52	2.34738901750395e-15	1.82486470934326e-113	0.298223605822223	0.190540923530414	0.245500376210284	2.27019750048831e-05	1.08124497692259e-50	2.91978353494922e-111	0.486895682975057	0.354494741451933	0.431649013116983
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-202.4;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-202.4"	0	8.21832778489109e-122	1.66113758659103e-19	3.92146274314569e-102	0.280592494879725	0.615607840030527	0.376234218367932	0	1.31493244558257e-119	3.13717019451655e-100	0.467654158132875	0.7405808601871	0.618957146228785
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-186.40;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-186.40"	2.20368702962155e-07	2.83975866161924e-56	0.404742124722158	3.50790307222171e-81	0.0960769322070436	0.555438373603289	0.762644857043145	3.91766583043831e-06	2.27180692929539e-54	1.87088163851824e-79	0.197080886578551	0.699764880130127	0.938639824053101
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0"	0.00885259950141253	2.63499631796323e-06	0.00407722887049931	9.26613895311894e-25	0.956751580357423	0.654949728206019	0.454340982882974	0.0643825418284548	4.68443789860131e-05	3.70645558124758e-23	0.987614534562501	0.753898967719159	0.685797710012037
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-90.23;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-90.23"	1.57250930973765e-13	0.104617561203576	5.70083052944532e-18	1.93939383313744e-15	0.808240302802905	0.701028864213417	0.230714318279521	5.03202979116049e-12	0.371973550946047	6.20606026603981e-14	0.902596668472242	0.784367959959069	0.410158788052482
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.7;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.7"	8.45001739196708e-05	4.09408374709291e-15	0.00768034761978237	2.52773396113794e-11	0.766811194251458	0.286773327923548	0.0159321214082799	0.00104000214054979	1.31010679906973e-13	6.74062389636783e-10	0.895545920293673	0.482986657555449	0.0392175296203812
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-344.3;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-344.3"	1.11904361932164e-06	0.628439913221875	1.56703316897127e-20	9.24882097126428e-10	0.0425898069955338	0.161769684745027	0.00104680829012487	1.79046979091463e-05	0.904538385643888	2.11401622200326e-08	0.0973481302755058	0.311845175412101	0.00265856073682506
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0"	2.98983363755065e-18	5.39430599670153e-09	2.74989902510348e-252	2.24942952131555e-08	3.51738011674203e-05	0.00496028185890452	0.308012720287158	1.59457794002701e-16	1.23298422781749e-07	4.49885904263111e-07	9.22591506030696e-05	0.0128007273778181	0.524276970701545
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-644.41;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-644.41"	0.433591395101943	0.0307075131901873	1.55737938704489e-05	2.65459979308846e-07	0.00123602942831218	0.268362842232174	5.9134851956324e-09	0.745963690497966	0.153537565950937	4.71928852104615e-06	0.00313912235761825	0.461699513517718	1.5510780841003e-08
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-121.8;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-121.8"	0.560404855931384	3.84107810952577e-07	0.56146776919623	3.24404777492731e-07	0.759804462705789	0.513402715578592	0.221283149417144	0.818208402456709	7.68215621905154e-06	5.1904764398837e-06	0.895545920293673	0.662455116875602	0.39781240344655
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-131.2;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-131.2"	0.0452537906869918	0.000212828960320622	0.00238585624795752	4.76155110474585e-07	0.727876786779427	0.0202631164924496	0.194706101590646	0.226268953434959	0.00285485934510217	6.92589251599397e-06	0.889009815913804	0.0491227066483627	0.362850312957339
