"Sample.ID"	"scaffold"	"position"	"meth"	"unmeth"	"gene"	"treatment1"	"treatment2"	"per.meth"
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10207413	14	19	"PGEN_00000265"	"Low"	"Ambient"	42.4242424242424
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10207438	29	13	"PGEN_00000265"	"Low"	"Ambient"	69.0476190476191
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10207441	24	22	"PGEN_00000265"	"Low"	"Ambient"	52.1739130434783
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10207453	12	38	"PGEN_00000265"	"Low"	"Ambient"	24
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10207458	9	28	"PGEN_00000265"	"Low"	"Ambient"	24.3243243243243
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10207482	11	47	"PGEN_00000265"	"Low"	"Ambient"	18.9655172413793
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10208835	7	55	"PGEN_00000265"	"Low"	"Ambient"	11.2903225806452
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10209483	2	63	"PGEN_00000265"	"Low"	"Ambient"	3.07692307692308
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10209505	56	13	"PGEN_00000265"	"Low"	"Ambient"	81.1594202898551
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10209545	0	36	"PGEN_00000265"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10210273	26	7	"PGEN_00000265"	"Low"	"Ambient"	78.7878787878788
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10210313	15	21	"PGEN_00000265"	"Low"	"Ambient"	41.6666666666667
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10210393	1	41	"PGEN_00000265"	"Low"	"Ambient"	2.38095238095238
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10210451	2	39	"PGEN_00000265"	"Low"	"Ambient"	4.8780487804878
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10210463	2	36	"PGEN_00000265"	"Low"	"Ambient"	5.26315789473684
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10210466	2	27	"PGEN_00000265"	"Low"	"Ambient"	6.89655172413793
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10210485	4	30	"PGEN_00000265"	"Low"	"Ambient"	11.7647058823529
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10218622	15	25	"PGEN_00000265"	"Low"	"Ambient"	37.5
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10218771	10	33	"PGEN_00000265"	"Low"	"Ambient"	23.2558139534884
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10218873	26	10	"PGEN_00000265"	"Low"	"Ambient"	72.2222222222222
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10219326	28	21	"PGEN_00000265"	"Low"	"Ambient"	57.1428571428571
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10219348	26	25	"PGEN_00000265"	"Low"	"Ambient"	50.9803921568627
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10219360	42	18	"PGEN_00000265"	"Low"	"Ambient"	70
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10220188	48	64	"PGEN_00000265"	"Low"	"Ambient"	42.8571428571429
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10220242	14	49	"PGEN_00000265"	"Low"	"Ambient"	22.2222222222222
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10220282	9	41	"PGEN_00000265"	"Low"	"Ambient"	18
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10221680	30	14	"PGEN_00000265"	"Low"	"Ambient"	68.1818181818182
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10221699	50	10	"PGEN_00000265"	"Low"	"Ambient"	83.3333333333333
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10221724	54	11	"PGEN_00000265"	"Low"	"Ambient"	83.0769230769231
