ID,scaffold,start,end,df_Initial.Treatment,df_Secondary.Treatment,df_Initial.Treatment.Secondary.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Secondary.Treatment,sumsq_Initial.Treatment.Secondary.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Secondary.Treatment,meansq_Initial.Treatment.Secondary.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Secondary.Treatment,statistic_Initial.Treatment.Secondary.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Secondary.Treatment,p.value_Initial.Treatment.Secondary.Treatment,p.value_Residuals
Scaffold_15:5533043-5533095,Scaffold_15,5533043,5533095,2,1,2,18,0.0190145567207404,0.0313089179949566,0.101055079931436,0.0986516559669387,0.0095072783603702,0.0313089179949566,0.0505275399657181,0.00548064755371882,1.73469982646835,5.71263116047526,9.21926459792754,NA,0.204679073177997,0.0279888606958632,0.00175147925075926,NA
Scaffold_17:31630703-31630936,Scaffold_17,31630703,31630936,2,1,2,18,0.0137972513919413,0.0668671141014435,0.743347545187005,0.779687973213873,0.00689862569597063,0.0668671141014435,0.371673772593502,0.0433159985118819,0.159262765097711,1.54370478342087,8.58051956234022,NA,0.853960767827889,0.230010898616177,0.00241488933268428,NA
Scaffold_04:13169503-13169693,Scaffold_04,13169503,13169693,2,1,2,15,0.350093584256255,0.086225796792619,1.39861378029945,1.39455523860083,0.175046792128128,0.086225796792619,0.699306890149724,0.0929703492400551,1.88282386329588,0.927454801422535,7.52182707568486,NA,0.186405081618999,0.350794674876402,0.00546435351765246,NA
Scaffold_01:26543165-26543359,Scaffold_01,26543165,26543359,2,1,2,18,0.142752650429579,0.00277719727218288,0.123811096202567,0.165559326307828,0.0713763252147897,0.00277719727218288,0.0619055481012837,0.00919774035043489,7.76020223395574,0.301943430274325,6.73051703382306,NA,0.0037125241976445,0.589419794867146,0.00656894474692756,NA
Scaffold_01:47239858-47240020,Scaffold_01,47239858,47240020,2,1,2,16,0.015567389069798,0.0040738616760886,0.603019290201396,0.734290545258529,0.00778369453489899,0.0040738616760886,0.301509645100698,0.045893159078658,0.16960467945905,0.0887683863537537,6.56981674728316,NA,0.845496006923702,0.769582824819545,0.00826203785344334,NA
Scaffold_02:64410497-64410614,Scaffold_02,64410497,64410614,2,1,2,16,0.0666428698891047,0.00883025363974016,0.49641561947144,0.628336943859806,0.0333214349445523,0.00883025363974016,0.24820780973572,0.0392710589912379,0.848498507564744,0.224853973041836,6.32037475208142,NA,0.44644014461235,0.641772680335303,0.00948603734399035,NA
Scaffold_04:49794463-49794496,Scaffold_04,49794463,49794496,2,1,2,18,0.0403545735058443,1.85224004264611e-05,0.483007611009404,0.750114693517416,0.0201772867529222,1.85224004264611e-05,0.241503805504702,0.0416730385287453,0.484180838865499,0.000444469639853228,5.79520510216976,NA,0.623999366258686,0.983411833802978,0.0114049575851549,NA
Scaffold_17:8152396-8152718,Scaffold_17,8152396,8152718,2,1,2,14,0.811834175080162,0.0469143466247759,1.13323488994637,1.30424969426891,0.405917087540081,0.0469143466247759,0.566617444973184,0.0931606924477794,4.35717121539876,0.503585207367081,6.08215149635988,NA,0.0337905350606649,0.489580334014868,0.0125583349229997,NA
Scaffold_16:17038726-17038816,Scaffold_16,17038726,17038816,2,1,2,14,0.0556485540050776,0.0856438868439813,0.294769141466706,0.360424001667853,0.0278242770025388,0.0856438868439813,0.147384570733353,0.0257445715477038,1.08078229039397,3.32667749724582,5.72487953276885,NA,0.366026421474865,0.0895791373865464,0.0152444065846422,NA
Scaffold_08:49680654-49680667,Scaffold_08,49680654,49680667,2,1,2,15,0.0258014774130939,0.018437562727022,0.279810951562016,0.379336287222626,0.012900738706547,0.018437562727022,0.139905475781008,0.0252890858148417,0.510130686455093,0.729071934905661,5.53224726292399,NA,0.610467379902851,0.406614010640647,0.0158604184246385,NA
