"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"184","GO:0045892",0.0318552341242201,0.983700475078629,16,197,NA,NA,"MATCH",1,"GO:0045892","negative regulation of transcription, DNA-templated","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.","GOTerm"
"51","GO:0007018",0.0061659067962752,0.998044326511976,10,81,NA,NA,"MATCH",1,"GO:0007018","microtubule-based movement","BP","A microtubule-based process that results in the movement of organelles, other microtubules, or other cellular components.  Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules.","GOTerm"
"52","GO:0007166",0.0105028740780494,0.996628511588778,9,75,NA,NA,"MATCH",1,"GO:0007166","cell surface receptor signaling pathway","BP","A series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription.","GOTerm"
"115","GO:0031175",0.0225228510324507,0.993025666203349,7,58,NA,NA,"MATCH",1,"GO:0031175","neuron projection development","BP","The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites).","GOTerm"
"277","GO:0090090",0.0243794437931031,0.993189460627419,6,46,NA,NA,"MATCH",1,"GO:0090090","negative regulation of canonical Wnt signaling pathway","BP","Any process that decreases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes.","GOTerm"
"3","GO:0000226",0.0445944707644011,0.987410797559585,5,40,"microtubule cytoskeleton organization","BP","MATCH",1,"GO:0000226","microtubule cytoskeleton organization","BP","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins.","GOTerm"
"6","GO:0001701",0.0290495759091169,0.992746331015477,5,36,"in utero embryonic development","BP","MATCH",1,"GO:0001701","in utero embryonic development","BP","The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus.","GOTerm"
"45","GO:0006325",0.0328193290552561,0.991517627348551,5,37,NA,NA,"MATCH",1,"GO:0006325","chromatin organization","BP","Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin.","GOSlimTerm"
"46","GO:0006351",0.0223096687794802,0.994838640566366,5,33,NA,NA,"MATCH",1,"GO:0006351","transcription, DNA-templated","BP","The cellular synthesis of RNA on a template of DNA.","GOTerm"
"59","GO:0007517",0.0360036206705841,0.990442520247287,5,38,NA,NA,"MATCH",1,"GO:0007517","muscle organ development","BP","The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work.","GOTerm"
"105","GO:0019934",0.0230615296953389,0.994604618099907,5,34,NA,NA,"MATCH",1,"GO:0019934","cGMP-mediated signaling","BP","Any intracellular signal transduction in which the signal is passed on within the cell via cyclic GMP (cGMP). Includes production of cGMP, and downstream effectors that further transmit the signal within the cell.","GOTerm"
"111","GO:0030514",0.0150490670407182,0.996870556108684,5,31,NA,NA,"MATCH",1,"GO:0030514","negative regulation of BMP signaling pathway","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of the BMP signaling pathway.","GOTerm"
"126","GO:0032880",0.00752575031460879,0.998708163692679,5,26,NA,NA,"MATCH",1,"GO:0032880","regulation of protein localization","BP","Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location.","GOTerm"
"11","GO:0001890",0.00479891805083164,0.99948174764488,4,15,NA,NA,"MATCH",1,"GO:0001890","placenta development","BP","The process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin.","GOTerm"
"99","GO:0016525",0.0451851125923655,0.989529347196263,4,28,NA,NA,"MATCH",1,"GO:0016525","negative regulation of angiogenesis","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of angiogenesis.","GOTerm"
