ID,scaffold,start,end,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
Scaffold_01:37487642-37487765,Scaffold_01,37487642,37487765,0.976339677260436,0.971081827762755,0.0726947943411562,185.69182660916,4.82051001571966e-08,3,16.1566560562616,-24.3133121125232,-22.3736855133712,0.0475607981187269,9
Scaffold_04:22243623-22243695,Scaffold_04,22243623,22243695,0.750648409922368,0.695236945460672,0.201393816170565,13.5468069146821,0.00193043258178609,3,3.92874607689513,0.142507846209733,2.08213444536173,0.365035222725691,9
Scaffold_10:49846117-49846282,Scaffold_10,49846117,49846282,0.689447543807439,0.620435886875758,0.0762455117980667,9.99030561590448,0.00518331208301074,3,15.5843907589554,-23.1687815179108,-21.2291549187588,0.0523204026241422,9
Scaffold_10:53832902-53833154,Scaffold_10,53832902,53833154,0.688357613664582,0.619103750034489,0.140312399708364,9.93962759018502,0.0052656785731544,3,8.26543702608465,-8.5308740521693,-6.59124745301729,0.177188125607278,9
Scaffold_09:29356096-29356222,Scaffold_09,29356096,29356222,0.615645640032773,0.530233560040056,0.161584850634361,7.20794576230046,0.013529855351642,3,6.57152863662354,-5.14305727324708,-3.20343067409508,0.23498697559076,9
Scaffold_12:47236827-47236988,Scaffold_12,47236827,47236988,0.658667745304441,0.573334681630551,0.223538297089762,7.71878703220613,0.0135740460456789,3,2.62306946363085,2.75386107273829,4.34544216393178,0.399754962126326,8
Scaffold_14:9074147-9074271,Scaffold_14,9074147,9074271,0.613629449838553,0.527769327580454,0.122523952551224,7.14685040855121,0.0138521783145094,3,9.89221488122252,-11.784429762445,-9.84480316329304,0.135109070538971,9
Scaffold_12:22863763-22863908,Scaffold_12,22863763,22863908,0.591165994315088,0.500313993051774,0.145945303760799,6.50691218789697,0.017863294335606,3,7.79311034714858,-7.58622069429717,-5.64659409514517,0.191700285208487,9
Scaffold_11:14395690-14396006,Scaffold_11,14395690,14396006,0.565724166301809,0.469218425479989,0.133311995102283,5.86207785655274,0.0234393455796536,3,8.87958687724328,-9.75917375448656,-7.81954715533456,0.159948792343359,9
Scaffold_10:29980980-29981357,Scaffold_10,29980980,29981357,0.547013108644528,0.446349355009979,0.210742136835969,5.43406230042255,0.0283390544167148,3,3.38426995445162,1.23146009109677,3.17108669024877,0.399710234143712,9
Scaffold_15:13007406-13007468,Scaffold_15,13007406,13007468,0.539417501991204,0.437065835767027,0.0349048044611822,5.27023664480203,0.0305410130794431,3,24.9603995835066,-41.9207991670133,-39.9811725678613,0.0109651083702603,9
Scaffold_05:2307421-2307763,Scaffold_05,2307421,2307763,0.539273706928661,0.436890086246141,0.206991464435145,5.2671873033372,0.0305839439575491,3,3.59976269041177,0.800474619176458,2.74010121832846,0.385609197141054,9
Scaffold_14:5467154-5467345,Scaffold_14,5467154,5467345,0.537366542928654,0.434559108023911,0.133211378477245,5.22692296939956,0.0311577915438358,3,8.8886472425058,-9.77729448501159,-7.83766788585959,0.15970744220227,9
Scaffold_13:22572253-22572326,Scaffold_13,22572253,22572326,0.532685977094732,0.428838416449117,0.127383417270889,5.12949917921085,0.032601655941106,3,9.42547452055283,-10.8509490411057,-8.91132244195365,0.146038814960485,9
Scaffold_08:8002553-8002693,Scaffold_08,8002553,8002693,0.529463592065907,0.424899945858331,0.190129908467286,5.06355326415105,0.0336255616747824,3,4.61940257644452,-1.23880515288903,0.700821446262969,0.325344438844006,9
Scaffold_02:41360718-41360876,Scaffold_02,41360718,41360876,0.555519609715452,0.444399512144315,0.278349358079064,4.9992721556046,0.0390310667982834,3,0.210832631620003,7.57833473675999,9.16991582795348,0.619826921144214,8
Scaffold_11:26583521-26583612,Scaffold_11,26583521,26583612,0.507558507910732,0.398127065224228,0.0848084652708783,4.63814142855423,0.0412663325289684,3,14.3071490145634,-20.6142980291268,-18.6746714299748,0.064732282034416,9
Scaffold_14:22473443-22473557,Scaffold_14,22473443,22473557,0.506886518822039,0.397305745226936,0.0630268088275508,4.62568845055765,0.04152034382655,3,17.8691713101809,-27.7383426203617,-25.7987160212097,0.0357514076788618,9
Scaffold_01:88395172-88395200,Scaffold_01,88395172,88395200,0.506134553156611,0.396386676080303,0.144705266051902,4.61179356394012,0.0418060262293387,3,7.89550507359781,-7.79101014719562,-5.85138354804362,0.188456526208367,9
Scaffold_04:12714271-12714332,Scaffold_04,12714271,12714332,0.502663623475126,0.39214442869182,0.0997864470277268,4.54820200654463,0.0431445572279385,3,12.3555049107978,-16.7110098215957,-14.7713832224437,0.089616015093756,9
Scaffold_01:60237055-60237175,Scaffold_01,60237055,60237175,0.491508872683707,0.378510844391198,0.420196695882292,4.34971193843644,0.0476732990704858,3,-4.89678171808906,17.7935634361781,19.7331900353301,1.58908736907356,9
Scaffold_06:11130279-11130481,Scaffold_06,11130279,11130481,0.490454935234556,0.377222698620013,0.110790437106284,4.33140729087713,0.0481195655908093,3,11.1002078294389,-14.2004156588779,-12.2607890597259,0.110470688587814,9
Scaffold_05:41972963-41972995,Scaffold_05,41972963,41972995,0.572603293241297,0.450489948453096,0.0763242826260874,4.6891131696904,0.0510398160003157,3,13.3216307810766,-18.6432615621533,-17.4329211901771,0.0407777728287081,7
Scaffold_06:52589480-52589745,Scaffold_06,52589480,52589745,0.479674712817178,0.364046871220995,0.218354497872642,4.14843610496845,0.0528733949206429,3,2.95845483495623,2.08309033008753,4.02271692923953,0.429108180670924,9
