feature,numDMR,numRegion,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj,comparison
put.3primeUTR,26,2786,0.0595171971800897,0.135416666666667,19.5836830048113,9.62880395492489e-06,1,-0.124345965807639,-0.0274529731655149,2-sample test for equality of proportions without continuity correction,two.sided,6.74016276844742e-05,time
exon,28,5479,0.117047639393292,0.145833333333333,1.5317883761556,0.215844239689835,1,-0.0787931644121494,0.0212217765320668,2-sample test for equality of proportions without continuity correction,two.sided,0.394041839202177,time
intergenic,49,12428,0.265498825037385,0.255208333333333,0.103844762978288,0.747263660549473,1,-0.051507472846295,0.0720884562543988,2-sample test for equality of proportions without continuity correction,two.sided,0.893693569198158,time
intron,23,9219,0.196945097201453,0.119791666666667,7.2055766204343,0.00726773950794663,1,0.0310816081902527,0.123225252879319,2-sample test for equality of proportions without continuity correction,two.sided,0.0254370882778132,time
put.promoter,8,1862,0.0397778252510147,0.0416666666666667,0.0178575146644446,0.893693569198158,1,-0.0302093113821601,0.0264316285508563,2-sample test for equality of proportions without continuity correction,two.sided,0.893693569198158,time
repeat.reagion,57,14273,0.304913480025636,0.296875,0.0583018278931662,0.80920038593639,1,-0.056720948957524,0.0727979090087951,2-sample test for equality of proportions without continuity correction,two.sided,0.893693569198158,time
tRNA,1,763,0.0162999359111301,0.00520833333333333,1.47113459634272,0.225166765258387,1,0.00084565956949775,0.0213375455860958,2-sample test for equality of proportions without continuity correction,two.sided,0.394041839202177,time
put.3primeUTR,5,7061,0.0523844145053119,0.0490196078431373,0.0232475679278704,0.878815042438621,1,-0.0385525231889501,0.0452821365132994,2-sample test for equality of proportions without continuity correction,two.sided,0.878815042438621,day_10
exon,8,14515,0.107684432310523,0.0784313725490196,0.907865082355677,0.340681510447605,1,-0.0229474915699813,0.0814536110929878,2-sample test for equality of proportions without continuity correction,two.sided,0.794923524377744,day_10
intergenic,30,36945,0.274088966704255,0.294117647058824,0.205487988458308,0.650327095615178,1,-0.108485664204258,0.068428303495122,2-sample test for equality of proportions without continuity correction,two.sided,0.878815042438621,day_10
intron,15,26078,0.193468455101193,0.147058823529412,1.40707180978952,0.235543098293486,1,-0.0223537787793643,0.115173041922927,2-sample test for equality of proportions without continuity correction,two.sided,0.794923524377744,day_10
put.promoter,3,4969,0.0368642055908363,0.0294117647058824,0.159455749834619,0.689658089591002,1,-0.0253518259910916,0.0402567077609994,2-sample test for equality of proportions without continuity correction,two.sided,0.878815042438621,day_10
repeat.reagion,39,43045,0.319343877974954,0.382352941176471,1.86147394939733,0.172454781726031,1,-0.157350307672181,0.0313321812691474,2-sample test for equality of proportions without continuity correction,two.sided,0.794923524377744,day_10
tRNA,2,2179,0.0161656478129266,0.0196078431372549,0.0759204564555697,0.782903957169912,1,-0.0303574651270297,0.023473074478373,2-sample test for equality of proportions without continuity correction,two.sided,0.878815042438621,day_10
put.3primeUTR,4,3106,0.0611369183528856,0.0784313725490196,0.265416046780881,0.60642343619088,1,-0.0911094823351673,0.0565205739428993,2-sample test for equality of proportions without continuity correction,two.sided,0.784605430235619,day_135
exon,5,5948,0.117077395480671,0.0980392156862745,0.178669746767353,0.672518940201959,1,-0.0626222039073829,0.100698563496176,2-sample test for equality of proportions without continuity correction,two.sided,0.784605430235619,day_135
intergenic,16,13742,0.270490512558066,0.313725490196078,0.482589784306965,0.487251586680444,1,-0.170639995499051,0.0841700402230265,2-sample test for equality of proportions without continuity correction,two.sided,0.784605430235619,day_135
intron,7,9902,0.194905912920243,0.137254901960784,1.07937980052084,0.298836340272867,1,-0.0368544388391419,0.152156460758058,2-sample test for equality of proportions without continuity correction,two.sided,0.784605430235619,day_135
put.promoter,2,2083,0.0410007086056216,0.0392156862745098,0.00412886073425641,0.948766219411517,1,-0.0515157165490828,0.0550857612113064,2-sample test for equality of proportions without continuity correction,two.sided,0.948766219411517,day_135
repeat.reagion,17,15314,0.3014329580348,0.333333333333333,0.246207331974388,0.619758363917224,1,-0.161338795568576,0.0975380449715098,2-sample test for equality of proportions without continuity correction,two.sided,0.784605430235619,day_135
tRNA,0,709,0.0139555940477128,0,0.721798318911141,0.395554660776714,1,0.012935543864823,0.0149756442306026,2-sample test for equality of proportions without continuity correction,two.sided,0.784605430235619,day_135
