"Sample.ID"	"scaffold"	"position"	"meth"	"unmeth"	"gene"	"treatment"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10207413	16	19	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10207438	47	2	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10207441	37	15	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10207453	29	31	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10207458	8	32	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10207482	30	35	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10208835	20	57	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10209483	0	77	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10209505	70	22	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10209545	1	57	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10210273	38	3	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10210313	15	26	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10210393	2	59	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10210451	2	46	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10210463	1	45	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10210466	2	33	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10210485	3	46	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10218622	19	21	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10218771	15	17	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10218873	32	10	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10219326	33	30	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10219348	36	21	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10219360	52	19	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10220188	21	7	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10220242	6	23	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10220282	12	9	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10221680	25	12	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10221699	43	7	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10221724	45	9	"PGEN_00000265"	"Day10"
