"uniprot.id"	"gene"	"adj.pval.TimePoint"	"start"	"end"	"score"	"Match.ID"	"m_start"	"m_end"	"E.value"	"identity"	"al"	"protein.name.short"	"protein.name.long"	"gene.names"	"organism"	"GO.IDs"
"P05099"	"PGEN_.00g198010"	0	33	449	429	"sp|P05099|MATN1_CHICK"	30	455	1.13e-44	28.539	438	"MATN1_CHICK"	"Cartilage matrix protein (Matrilin-1)"	"MATN1 CMP"	"Gallus gallus (Chicken)"	"GO:0003429; GO:0005201; GO:0005509; GO:0005615; GO:0031012; GO:0062023"
"Q80YX1"	"PGEN_.00g149640"	0	498	651	155	"sp|Q80YX1|TENA_MOUSE"	66	207	3.75e-09	32.298	161	"TENA_MOUSE"	"Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"	"Tnc Hxb"	"Mus musculus (Mouse)"	"GO:0001968; GO:0005576; GO:0005604; GO:0005614; GO:0005615; GO:0007155; GO:0007162; GO:0007528; GO:0008284; GO:0009612; GO:0010628; GO:0014012; GO:0031012; GO:0031175; GO:0042060; GO:0042475; GO:0045471; GO:0045545; GO:0060447; GO:0060739; GO:0060740; GO:0062023; GO:0071300; GO:0071305; GO:0071774; GO:0071799; GO:0098966"
NA	"PGEN_.00g086530"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8IWY4"	"PGEN_.00g165230"	2.01396875647169e-302	913	985	210	"sp|Q8IWY4|SCUB1_HUMAN"	53	124	2.58e-19	52.055	73	"SCUB1_HUMAN"	"Signal peptide, CUB and EGF-like domain-containing protein 1"	"SCUBE1"	"Homo sapiens (Human)"	"GO:0005509; GO:0005615; GO:0005886; GO:0006954; GO:0007512; GO:0007596; GO:0009791; GO:0009897; GO:0009986; GO:0019897; GO:0022617; GO:0042802; GO:0045446; GO:0045880; GO:0046982; GO:0051260"
"Q91755"	"PGEN_.00g167890"	3.58558197610504e-298	11	76	163	"sp|Q91755|GRIK2_XENLA"	2	67	2.24e-13	43.939	66	"GRIK2_XENLA"	"Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6) (Fragment)"	"grik2 glur6"	"Xenopus laevis (African clawed frog)"	"GO:0005234; GO:0016021; GO:0030054; GO:0038023; GO:0045211"
"Q11D10"	"PGEN_.00g279150"	2.64581073818086e-292	1	394	901	"sp|Q11D10|ASSY_CHESB"	1	362	3.74e-118	46.734	398	"ASSY_CHESB"	"Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)"	"argG Meso_3344"	"Chelativorans sp. (strain BNC1)"	"GO:0004055; GO:0005524; GO:0005737; GO:0006526"
NA	"PGEN_.00g316430"	1.16191313769207e-181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8NET6"	"PGEN_.00g049950"	1.85649107550865e-174	75	287	215	"sp|Q8NET6|CHSTD_HUMAN"	38	239	5.36e-18	28.44	218	"CHSTD_HUMAN"	"Carbohydrate sulfotransferase 13 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 3) (Chondroitin 4-sulfotransferase 3) (C4ST-3) (C4ST3)"	"CHST13"	"Homo sapiens (Human)"	"GO:0000139; GO:0001537; GO:0008146; GO:0016021; GO:0016051; GO:0030166; GO:0030206; GO:0047756"
NA	"PGEN_.00g316040"	2.88136491275986e-172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q92551"	"PGEN_.00g275080"	4.82500204000336e-162	24	435	529	"sp|Q92551|IP6K1_HUMAN"	61	448	4.01e-61	32.938	422	"IP6K1_HUMAN"	"Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)"	"IP6K1 IHPK1 KIAA0263"	"Homo sapiens (Human)"	"GO:0000828; GO:0000832; GO:0001650; GO:0005524; GO:0005654; GO:0005829; GO:0032958; GO:0043647; GO:0046854; GO:0052723; GO:0052724; GO:0120163"
