"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"36","GO:0005516",0.0126278116702177,0.995518094217659,10,89,NA,NA,"MATCH",1,"GO:0005516","calmodulin binding","MF","Interacting selectively and non-covalently with calmodulin, a calcium-binding protein with many roles, both in the calcium-bound and calcium-free states.","GOTerm"
"26","GO:0004672",0.0387243348105544,0.984294773146447,9,94,NA,NA,"MATCH",1,"GO:0004672","protein kinase activity","MF","Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.","GOTerm"
"19","GO:0003779",0.0249475907392753,0.99133596732087,8,73,NA,NA,"MATCH",1,"GO:0003779","actin binding","MF","Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments.","GOTerm"
"205","GO:0051087",0.027910336793131,0.991934097565802,6,48,NA,NA,"MATCH",1,"GO:0051087","chaperone binding","MF","Interacting selectively and non-covalently with a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport.","GOTerm"
"67","GO:0008569",0.0239292900155995,0.994347539762376,5,34,NA,NA,"MATCH",1,"GO:0008569","ATP-dependent microtubule motor activity, minus-end-directed","MF","Catalysis of movement along a microtubule toward the minus end, coupled to the hydrolysis of ATP.","GOTerm"
"178","GO:0045505",0.0363025348272275,0.990341743556746,5,38,NA,NA,"MATCH",1,"GO:0045505","dynein intermediate chain binding","MF","Interacting selectively and non-covalently with an intermediate chain of the dynein complex.","GOTerm"
"213","GO:0051959",0.0267417748113737,0.993481218613847,5,35,NA,NA,"MATCH",1,"GO:0051959","dynein light intermediate chain binding","MF","Interacting selectively and non-covalently with a light intermediate chain of the dynein complex.","GOTerm"
"25","GO:0004518",0.0231575744555255,0.995734001891719,4,23,"nuclease activity","MF","MATCH",1,"GO:0004518","nuclease activity","MF","Catalysis of the hydrolysis of ester linkages within nucleic acids.","GOSlimTerm"
"102","GO:0017046",0.0372171718974757,0.991947962461406,4,26,NA,NA,"MATCH",1,"GO:0017046","peptide hormone binding","MF","Interacting selectively and non-covalently with any peptide with hormonal activity in animals.","GOTerm"
"101","GO:0016941",0.0474248626426193,0.991903386800077,3,17,NA,NA,"MATCH",1,"GO:0016941","natriuretic peptide receptor activity","MF","Combining with a natriuretic peptide and transmitting the signal to initiate a change in cell activity.","GOTerm"
"165","GO:0042562",0.046825435832032,0.992046361871517,3,17,NA,NA,"MATCH",1,"GO:0042562","hormone binding","MF","Interacting selectively and non-covalently with any hormone, naturally occurring substances secreted by specialized cells that affect the metabolism or behavior of other cells possessing functional receptors for the hormone.","GOTerm"
"20","GO:0003785",0.0203355354045545,0.99901686508559,2,5,NA,NA,"MATCH",1,"GO:0003785","actin monomer binding","MF","Interacting selectively and non-covalently with monomeric actin, also known as G-actin.","GOTerm"
"22","GO:0004115",0.0413616329165326,0.996638384253588,2,7,NA,NA,"MATCH",1,"GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","MF","Catalysis of the reaction: adenosine 3',5'-cyclic phosphate + H2O = adenosine 5'-phosphate.","GOTerm"
"37","GO:0005544",0.0137465814907487,0.999533866242888,2,4,"calcium-dependent phospholipid binding","MF","MATCH",1,"GO:0005544","calcium-dependent phospholipid binding","MF","Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester, in the presence of calcium.","GOTerm"
"66","GO:0008381",0.0215298661427386,0.998926640118052,2,5,NA,NA,"MATCH",1,"GO:0008381","mechanosensitive ion channel activity","MF","Enables the transmembrane transfer of an ion by a channel that opens in response to a mechanical stress.","GOTerm"
"91","GO:0015183",0.0142329706643911,0.999508342362936,2,4,NA,NA,"MATCH",1,"GO:0015183","L-aspartate transmembrane transporter activity","MF","Enables the transfer of L-aspartate from one side of a membrane to the other. L-aspartate is the anion derived from aspartic acid.","GOTerm"
"116","GO:0031698",0.0405892271668873,0.996735302990222,2,7,NA,NA,"MATCH",1,"GO:0031698","beta-2 adrenergic receptor binding","MF","Interacting selectively and non-covalently with a beta-2 adrenergic receptor.","GOTerm"
"148","GO:0035516",0.00230060512579092,1,2,2,NA,NA,"MATCH",1,"GO:0035516","oxidative DNA demethylase activity","MF","Catalysis of the removal of the methyl group from one or more nucleotides within a DNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.","GOTerm"
"167","GO:0042806",0.0225799187812164,0.998844988319407,2,5,NA,NA,"MATCH",1,"GO:0042806","fucose binding","MF","Interacting selectively and non-covalently with fucose, the pentose 6-deoxygalactose.","GOTerm"
"189","GO:0048018",0.041363500375587,0.996638148667464,2,7,NA,NA,"MATCH",1,"GO:0048018","receptor ligand activity","MF","The activity of a gene product that interacts with a receptor to effect a change in the activity of the receptor. Ligands may be produced by the same, or different, cell that expresses the receptor. Ligands may diffuse extracellularly from their point of origin to the receiving cell, or remain attached to an adjacent cell surface (e.g. Notch ligands).","GOTerm"
"286","GO:0098770",0.0136583503708478,0.999538444282445,2,4,NA,NA,"MATCH",1,"GO:0098770","FBXO family protein binding","MF","Interacting selectively and non-covalently with any member of the FBXO protein family. Members of this family have an F-box protein motif of approximately 50 amino acids that functions as a site of protein-protein interaction.","GOTerm"
"13","GO:0002151",0.0493405533182858,1,1,1,"G-quadruplex RNA binding","MF","MATCH",1,"GO:0002151","G-quadruplex RNA binding","MF","Interacting selectively and non-covalently with G-quadruplex RNA structures, in which groups of four guanines adopt a flat, cyclic hydrogen-bonding arrangement known as a guanine tetrad.","GOTerm"
"21","GO:0003998",0.0453790572529118,1,1,1,"acylphosphatase activity","MF","MATCH",1,"GO:0003998","acylphosphatase activity","MF","Catalysis of the reaction: an acyl phosphate + H2O = a carboxylate + phosphate.","GOTerm"
"23","GO:0004320",0.045201508921467,1,1,1,"oleoyl-[acyl-carrier-protein] hydrolase activity","MF","MATCH",1,"GO:0004320","oleoyl-[acyl-carrier-protein] hydrolase activity","MF","Catalysis of the reaction: oleoyl-[acyl-carrier protein] + H2O = [acyl-carrier protein] + oleate.","GOTerm"
"24","GO:0004508",0.0493630439655286,1,1,1,"steroid 17-alpha-monooxygenase activity","MF","MATCH",1,"GO:0004508","steroid 17-alpha-monooxygenase activity","MF","Catalysis of the reaction: a steroid + AH2 + O2 = a 17a-hydroxysteroid + A + H2O.","GOTerm"
"27","GO:0004791",0.0472760237760001,1,1,1,NA,NA,"MATCH",1,"GO:0004791","thioredoxin-disulfide reductase activity","MF","Catalysis of the reaction: NADP(+) + thioredoxin = H(+) + NADPH + thioredoxin disulfide.","GOTerm"
"28","GO:0004803",0.0485265234772735,1,1,1,"transposase activity","MF","MATCH",1,"GO:0004803","transposase activity","MF","Catalysis of the transposition of transposable elements or transposons. Transposases are involved in recombination required for transposition and are site-specific for the transposon/transposable element.","GOTerm"
"29","GO:0005115",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0005115","receptor tyrosine kinase-like orphan receptor binding","MF","Interacting selectively and non-covalently with the receptor tyrosine kinase-like orphan receptor (Ror).","GOTerm"
"30","GO:0005175",0.0456700666764486,1,1,1,NA,NA,"MATCH",1,"GO:0005175","CD27 receptor binding","MF","Interacting selectively and non-covalently with a CD27, a receptor found on the surface of T cells and some B cells and NK cells.","GOTerm"
"31","GO:0005220",0.0493732125682796,1,1,1,"inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity","MF","MATCH",1,"GO:0005220","inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity","MF","Enables the transmembrane transfer of a calcium ion by a channel that opens when inositol 1,4,5-trisphosphate (IP3) has been bound by the channel complex or one of its constituent parts.","GOTerm"
"32","GO:0005234",0.0499750439579799,1,1,1,"extracellularly glutamate-gated ion channel activity","MF","MATCH",1,"GO:0005234","extracellularly glutamate-gated ion channel activity","MF","Enables the transmembrane transfer of an ion by a channel that opens when glutamate is  bound by the channel complex or one of its constituent parts on the extracellular side of the plasma membrane.","GOTerm"
"33","GO:0005461",0.0493778610315132,1,1,1,NA,NA,"MATCH",1,"GO:0005461","UDP-glucuronic acid transmembrane transporter activity","MF","Enables the transfer of a UDP-glucuronic acid from one side of a membrane to the other. UDP-glucuronic acid is a substance composed of glucuronic acid in glycosidic linkage with uridine diphosphate.","GOTerm"
"34","GO:0005463",0.0493778610315132,1,1,1,NA,NA,"MATCH",1,"GO:0005463","UDP-N-acetylgalactosamine transmembrane transporter activity","MF","Enables the transfer of a N-acetylgalactosamine from one side of a membrane to the other. N-acetylgalactosamine is a substance composed of N-acetylgalactosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate.","GOTerm"
"35","GO:0005484",0.0483326236289925,1,1,1,"SNAP receptor activity","MF","MATCH",1,"GO:0005484","SNAP receptor activity","MF","Acting as a marker to identify a membrane and interacting selectively with one or more SNAREs on another membrane to mediate membrane fusion.","GOTerm"
"65","GO:0008331",0.0452375172417794,1,1,1,NA,NA,"MATCH",1,"GO:0008331","high voltage-gated calcium channel activity","MF","Enables the transmembrane transfer of a calcium ion by a high voltage-gated channel. A high voltage-gated channel is a channel whose open state is dependent on high voltage across the membrane in which it is embedded.","GOTerm"
