"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GO.Term","GO.Slim.Term","Cat"
"1","GO:0016578",0.0116308597050606,0.998991347897217,3,9,"histone deubiquitination","BP","histone deubiquitination","cell organization and biogenesis","P"
"2","GO:0000915",0.0139306401873797,0.998664458286751,3,10,"actomyosin contractile ring assembly","BP","cytokinesis, contractile ring formation","cell organization and biogenesis","P"
"3","GO:0051256",0.0165233702702431,0.998267501769773,3,11,"mitotic spindle midzone assembly","BP","spindle midzone assembly involved in mitosis","cell organization and biogenesis","P"
"4","GO:0006906",0.0358275591221719,0.994831208732064,3,12,"vesicle fusion","BP","vesicle fusion","cell organization and biogenesis","P"
"5","GO:0042733",0.002285171043657,0.999518309649317,8,31,"embryonic digit morphogenesis","BP","embryonic digit morphogenesis","developmental processes","P"
"6","GO:0048814",0.0103105503126582,0.998178409414691,5,19,"regulation of dendrite morphogenesis","BP","regulation of dendrite morphogenesis","developmental processes","P"
"7","GO:0048754",0.0171913633432683,0.998344554881097,3,8,"branching morphogenesis of an epithelial tube","BP","branching morphogenesis of a tube","developmental processes","P"
"8","GO:0001702",0.0255533918354274,0.995348664301577,4,17,"gastrulation with mouth forming second","BP","gastrulation with mouth forming second","developmental processes","P"
"9","GO:0014033",0.0357311144095516,0.997454977965753,2,6,"neural crest cell differentiation","BP","neural crest cell differentiation","developmental processes","P"
"10","GO:0042475",0.0359581452000575,0.992529088620943,4,20,"odontogenesis of dentin-containing tooth","BP","odontogenesis of dentine-containing tooth","developmental processes","P"
"11","GO:0045668",0.0394166922751042,0.991566837402395,4,20,"negative regulation of osteoblast differentiation","BP","negative regulation of osteoblast differentiation","developmental processes","P"
"12","GO:0060444",0.0447754276519734,0.993071580510135,3,11,"branching involved in mammary gland duct morphogenesis","BP","branching involved in mammary gland duct morphogenesis","developmental processes","P"
"13","GO:0048570",0.0496456953808382,0.995756088522518,2,6,"notochord morphogenesis","BP","notochord morphogenesis","developmental processes","P"
"14","GO:0045740",0.0306960570115512,0.995913126331293,3,11,"positive regulation of DNA replication","BP","positive regulation of DNA replication","DNA metabolism","P"
"15","GO:0048589",0.00477568838011462,0.999340229541206,5,15,"developmental growth","BP","developmental growth","other biological processes","P"
"16","GO:0032467",0.00535373160817749,0.999195094543591,5,19,"positive regulation of cytokinesis","BP","positive regulation of cytokinesis","other biological processes","P"
"17","GO:0032480",0.0202030867025854,0.997929698287533,3,8,"negative regulation of type I interferon production","BP","negative regulation of type I interferon production","other biological processes","P"
"18","GO:0032479",0.027607633180537,0.996989553005199,3,7,"regulation of type I interferon production","BP","regulation of type I interferon production","other biological processes","P"
"19","GO:0032727",0.0278523853557035,0.996764154211887,3,8,"positive regulation of interferon-alpha production","BP","positive regulation of interferon-alpha production","other biological processes","P"
"20","GO:0042752",0.0313895811754422,0.990851565093093,6,37,"regulation of circadian rhythm","BP","regulation of circadian rhythm","other biological processes","P"
"21","GO:0009247",0.00243911233706489,0.999794965912983,4,12,"glycolipid biosynthetic process","BP","glycolipid biosynthetic process","other metabolic processes","P"
"22","GO:0016051",0.0324991731778753,0.99535610039893,3,14,"carbohydrate biosynthetic process","BP","carbohydrate biosynthetic process","other metabolic processes","P"
"23","GO:0045732",0.0186481613366529,0.996044811896309,5,23,"positive regulation of protein catabolic process","BP","positive regulation of protein catabolic process","protein metabolism","P"
"24","GO:0031397",0.0317774188324235,0.993610111209823,4,21,"negative regulation of protein ubiquitination","BP","negative regulation of protein ubiquitination","protein metabolism","P"
"25","GO:0051091",0.0167771973729214,0.995260781303441,7,38,"positive regulation of DNA-binding transcription factor activity","BP","positive regulation of transcription factor activity","RNA metabolism","P"
